Net_Name,Route_Class,Reference_Domain,Topology,Current_Basis,Geometry_Rule,Layer_Rule,Via_Rule,Separation_Rule,Priority,Source_Authority,Status
GND_MIC,SEPARATE_HARNESS_RETURN,SELF_TO_GND_PWR_ONLY_AT_NT3,HARNESS_RETURN_TO_ONE_EXPLICIT_NET_TIE,TPS7A20_0P3A_RATED_ACTUAL_LOAD_ENVELOPE_OPEN,COPPER_EQUIVALENT_TO_ASSOCIATED_RAIL_NO_NECKDOWN_JOIN_ONLY_AT_ASSIGNED_NET_TIE,CONTROLLED_RETURN_COPPER_TO_ASSIGNED_NET_TIE_NO_CROSS_JOIN,VIA_ARRAY_COUNT_FROM_CURRENT_DENSITY_AND_THERMAL_REVIEW_NO_SINGLE_VIA_NECKDOWN,NO_CROSS_DOMAIN_JOIN_EXCEPT_ASSIGNED_NT1_NT2_OR_NT3,P0,hardware/PCB_PWR_CAPTURE_NETS_REV_A.csv;hardware/POWER_DESIGN_BASELINE_REV_A.json;hardware/kicad/PCB_RULES.md;hardware/PCB_LAYER_COUNT_AUTHORITY_REV_A.csv;hardware/PWR_MAIN_12PIN_I2C_FREEZE_REV_A.md;hardware/PCB_PWR_REVIEW_A_PIN_NET_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
GND_MODEM,SEPARATE_HARNESS_RETURN,SELF_TO_GND_PWR_ONLY_AT_NT1,HARNESS_RETURN_TO_ONE_EXPLICIT_NET_TIE,LMR60440_4A_RATED_BG95_BB_PLUS_RF_PEAK_3P3A,COPPER_EQUIVALENT_TO_ASSOCIATED_RAIL_NO_NECKDOWN_JOIN_ONLY_AT_ASSIGNED_NET_TIE,CONTROLLED_RETURN_COPPER_TO_ASSIGNED_NET_TIE_NO_CROSS_JOIN,VIA_ARRAY_COUNT_FROM_CURRENT_DENSITY_AND_THERMAL_REVIEW_NO_SINGLE_VIA_NECKDOWN,NO_CROSS_DOMAIN_JOIN_EXCEPT_ASSIGNED_NT1_NT2_OR_NT3,P0,hardware/PCB_PWR_CAPTURE_NETS_REV_A.csv;hardware/POWER_DESIGN_BASELINE_REV_A.json;hardware/kicad/PCB_RULES.md;hardware/PCB_LAYER_COUNT_AUTHORITY_REV_A.csv;hardware/PWR_MAIN_12PIN_I2C_FREEZE_REV_A.md;hardware/PCB_PWR_REVIEW_A_PIN_NET_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
GND_PWR,POWER_RETURN_PLANE,SELF_GND_PWR,CONTINUOUS_PRIMARY_RETURN_AND_THERMAL_PLANE,SYSTEM_EXPECTED_MAX_5A_PLUS_FAULT_RETURN_ENVELOPE_OPEN,PLANE_GEOMETRY_CURRENT_DENSITY_VOID_AND_THERMAL_REVIEW_REQUIRED,CONTINUOUS_GND_PWR_REFERENCE_AND_THERMAL_PLANES_REVIEW_B,VIA_ARRAY_COUNT_FROM_CURRENT_DENSITY_AND_THERMAL_REVIEW_NO_SINGLE_VIA_NECKDOWN,KEEP_CLEAR_OF_SWITCH_NODE_AND_UNRELATED_SENSITIVE_NETWORKS,P0,hardware/PCB_PWR_CAPTURE_NETS_REV_A.csv;hardware/POWER_DESIGN_BASELINE_REV_A.json;hardware/kicad/PCB_RULES.md;hardware/PCB_LAYER_COUNT_AUTHORITY_REV_A.csv;hardware/PCB_PWR_REVIEW_A_PIN_NET_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
I2C2_SCL,I2C_OPEN_DRAIN,CROSS_GND_DIGITAL_GND_PWR_VIA_NT2,OPEN_DRAIN_POINT_TO_POINT_HARNESS_BUS_MAIN_PULLUPS_ONLY,SIGNAL_OR_BIAS_CURRENT_NOT_LOAD_CURRENT,FABRICATOR_MINIMUMS_FINAL_HARNESS_CAPACITANCE_AND_PULLUP_REVIEW,SIGNAL_LAYER_OVER_CONTINUOUS_GND_PWR_REFERENCE,MINIMIZE_TRANSITIONS_ADD_LOCAL_RETURN_VIA_IF_LAYER_CHANGES,KEEP_AWAY_FROM_SWITCH_NODES_AND_INDUCTORS_ROUTE_WITH_DIGITAL_RETURN_PATH,P1,hardware/PCB_PWR_CAPTURE_NETS_REV_A.csv;hardware/POWER_DESIGN_BASELINE_REV_A.json;hardware/kicad/PCB_RULES.md;hardware/PWR_MAIN_12PIN_I2C_FREEZE_REV_A.md;hardware/PCB_PWR_REVIEW_A_PIN_NET_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
I2C2_SDA,I2C_OPEN_DRAIN,CROSS_GND_DIGITAL_GND_PWR_VIA_NT2,OPEN_DRAIN_POINT_TO_POINT_HARNESS_BUS_MAIN_PULLUPS_ONLY,SIGNAL_OR_BIAS_CURRENT_NOT_LOAD_CURRENT,FABRICATOR_MINIMUMS_FINAL_HARNESS_CAPACITANCE_AND_PULLUP_REVIEW,SIGNAL_LAYER_OVER_CONTINUOUS_GND_PWR_REFERENCE,MINIMIZE_TRANSITIONS_ADD_LOCAL_RETURN_VIA_IF_LAYER_CHANGES,KEEP_AWAY_FROM_SWITCH_NODES_AND_INDUCTORS_ROUTE_WITH_DIGITAL_RETURN_PATH,P1,hardware/PCB_PWR_CAPTURE_NETS_REV_A.csv;hardware/POWER_DESIGN_BASELINE_REV_A.json;hardware/kicad/PCB_RULES.md;hardware/PWR_MAIN_12PIN_I2C_FREEZE_REV_A.md;hardware/PCB_PWR_REVIEW_A_PIN_NET_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
LM74700_VCAP,ANALOG_TIMING,GND_PWR,LOCAL_POINT_TO_POINT_ANALOG_NETWORK,SIGNAL_OR_BIAS_CURRENT_NOT_LOAD_CURRENT,FABRICATOR_MINIMUMS_AND_REVIEW_B,F_CU_LOCAL_TO_CONTROLLER,MINIMIZE_TRANSITIONS_ADD_LOCAL_RETURN_VIA_IF_LAYER_CHANGES,KEEP_CLEAR_OF_SWITCH_NODE_AND_UNRELATED_SENSITIVE_NETWORKS,P1,hardware/PCB_PWR_CAPTURE_NETS_REV_A.csv;hardware/POWER_DESIGN_BASELINE_REV_A.json;hardware/kicad/PCB_RULES.md;hardware/PCB_PWR_REVIEW_A_PIN_NET_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
MODE_3V3,MODE_CONTROL,GND_PWR,LOCAL_STATIC_MODE_STRAP_NETWORK,SIGNAL_OR_BIAS_CURRENT_NOT_LOAD_CURRENT,FABRICATOR_MINIMUMS_AND_REVIEW_B,F_CU_LOCAL_TO_CONTROLLER,MINIMIZE_TRANSITIONS_ADD_LOCAL_RETURN_VIA_IF_LAYER_CHANGES,KEEP_CLEAR_OF_SWITCH_NODE_AND_UNRELATED_SENSITIVE_NETWORKS,P1,hardware/PCB_PWR_CAPTURE_NETS_REV_A.csv;hardware/POWER_DESIGN_BASELINE_REV_A.json;hardware/kicad/PCB_RULES.md;hardware/PCB_PWR_REVIEW_A_PIN_NET_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
MODE_3V8,MODE_CONTROL,GND_PWR,LOCAL_STATIC_MODE_STRAP_NETWORK,SIGNAL_OR_BIAS_CURRENT_NOT_LOAD_CURRENT,FABRICATOR_MINIMUMS_AND_REVIEW_B,F_CU_LOCAL_TO_CONTROLLER,MINIMIZE_TRANSITIONS_ADD_LOCAL_RETURN_VIA_IF_LAYER_CHANGES,KEEP_CLEAR_OF_SWITCH_NODE_AND_UNRELATED_SENSITIVE_NETWORKS,P1,hardware/PCB_PWR_CAPTURE_NETS_REV_A.csv;hardware/POWER_DESIGN_BASELINE_REV_A.json;hardware/kicad/PCB_RULES.md;hardware/PCB_PWR_REVIEW_A_PIN_NET_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
PG_3V8,OPEN_DRAIN_STATUS,GND_PWR,OPEN_DRAIN_STATUS_TO_LOCAL_TP_OR_MAIN_HARNESS,SIGNAL_OR_BIAS_CURRENT_NOT_LOAD_CURRENT,FABRICATOR_MINIMUMS_AND_REVIEW_B,SIGNAL_LAYER_OVER_CONTINUOUS_GND_PWR_REFERENCE,MINIMIZE_TRANSITIONS_ADD_LOCAL_RETURN_VIA_IF_LAYER_CHANGES,KEEP_CLEAR_OF_SWITCH_NODE_AND_UNRELATED_SENSITIVE_NETWORKS,P1,hardware/PCB_PWR_CAPTURE_NETS_REV_A.csv;hardware/POWER_DESIGN_BASELINE_REV_A.json;hardware/kicad/PCB_RULES.md;hardware/PWR_MAIN_12PIN_I2C_FREEZE_REV_A.md;hardware/PCB_PWR_REVIEW_A_PIN_NET_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
PWR_GOOD,OPEN_DRAIN_STATUS,CROSS_GND_DIGITAL_GND_PWR_VIA_NT2,OPEN_DRAIN_STATUS_TO_LOCAL_TP_OR_MAIN_HARNESS,SIGNAL_OR_BIAS_CURRENT_NOT_LOAD_CURRENT,FABRICATOR_MINIMUMS_AND_REVIEW_B,SIGNAL_LAYER_OVER_CONTINUOUS_GND_PWR_REFERENCE,MINIMIZE_TRANSITIONS_ADD_LOCAL_RETURN_VIA_IF_LAYER_CHANGES,KEEP_CLEAR_OF_SWITCH_NODE_AND_UNRELATED_SENSITIVE_NETWORKS,P1,hardware/PCB_PWR_CAPTURE_NETS_REV_A.csv;hardware/POWER_DESIGN_BASELINE_REV_A.json;hardware/kicad/PCB_RULES.md;hardware/PWR_MAIN_12PIN_I2C_FREEZE_REV_A.md;hardware/PCB_PWR_REVIEW_A_PIN_NET_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
REV_GATE,GATE_DRIVE,GND_PWR,LOCAL_CONTROLLER_TO_REVERSE_MOSFET_GATE,SIGNAL_OR_BIAS_CURRENT_NOT_LOAD_CURRENT,FABRICATOR_MINIMUMS_AND_REVIEW_B,F_CU_LOCAL_TO_CONTROLLER_AND_MOSFET,MINIMIZE_TRANSITIONS_ADD_LOCAL_RETURN_VIA_IF_LAYER_CHANGES,KEEP_CLEAR_OF_SWITCH_NODE_AND_UNRELATED_SENSITIVE_NETWORKS,P1,hardware/PCB_PWR_CAPTURE_NETS_REV_A.csv;hardware/POWER_DESIGN_BASELINE_REV_A.json;hardware/kicad/PCB_RULES.md;hardware/PCB_PWR_REVIEW_A_PIN_NET_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
RT_3V3,ANALOG_TIMING,GND_PWR,LOCAL_POINT_TO_POINT_ANALOG_NETWORK,SIGNAL_OR_BIAS_CURRENT_NOT_LOAD_CURRENT,FABRICATOR_MINIMUMS_AND_REVIEW_B,F_CU_LOCAL_TO_CONTROLLER,MINIMIZE_TRANSITIONS_ADD_LOCAL_RETURN_VIA_IF_LAYER_CHANGES,KEEP_CLEAR_OF_SWITCH_NODE_AND_UNRELATED_SENSITIVE_NETWORKS,P1,hardware/PCB_PWR_CAPTURE_NETS_REV_A.csv;hardware/POWER_DESIGN_BASELINE_REV_A.json;hardware/kicad/PCB_RULES.md;hardware/PCB_PWR_REVIEW_A_PIN_NET_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
RT_3V8,ANALOG_TIMING,GND_PWR,LOCAL_POINT_TO_POINT_ANALOG_NETWORK,SIGNAL_OR_BIAS_CURRENT_NOT_LOAD_CURRENT,FABRICATOR_MINIMUMS_AND_REVIEW_B,F_CU_LOCAL_TO_CONTROLLER,MINIMIZE_TRANSITIONS_ADD_LOCAL_RETURN_VIA_IF_LAYER_CHANGES,KEEP_CLEAR_OF_SWITCH_NODE_AND_UNRELATED_SENSITIVE_NETWORKS,P1,hardware/PCB_PWR_CAPTURE_NETS_REV_A.csv;hardware/POWER_DESIGN_BASELINE_REV_A.json;hardware/kicad/PCB_RULES.md;hardware/PCB_PWR_REVIEW_A_PIN_NET_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
SHUNT_LOAD_SENSE,KELVIN_SENSE,GND_PWR,TRUE_KELVIN_SHUNT_TERMINAL_TO_INA226_WITH_HI_Z_TP_BRANCH,MEASURES_SYSTEM_5A_BASIS_NO_LOAD_CURRENT_IN_SENSE_TRACE,TRUE_KELVIN_FROM_SHUNT_SENSE_TERMINAL_NO_SHARED_LOAD_COPPER_HI_Z_TP_BRANCH_ONLY,PAIRED_SAME_LAYER_QUIET_CORRIDOR_TO_INA226,ZERO_VIA_TARGET_NO_SHARED_LOAD_OR_PLANE_VIA,KEEP_AWAY_FROM_SWITCH_NODES_INDUCTORS_GATE_DRIVE_AND_HIGH_DI_DT_LOOPS,P0,hardware/PCB_PWR_CAPTURE_NETS_REV_A.csv;hardware/POWER_DESIGN_BASELINE_REV_A.json;hardware/kicad/PCB_RULES.md;hardware/PCB_LAYER_COUNT_AUTHORITY_REV_A.csv;hardware/PCB_PWR_REVIEW_A_PIN_NET_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
SHUNT_SOURCE_SENSE,KELVIN_SENSE,GND_PWR,TRUE_KELVIN_SHUNT_TERMINAL_TO_INA226_WITH_HI_Z_TP_BRANCH,MEASURES_SYSTEM_5A_BASIS_NO_LOAD_CURRENT_IN_SENSE_TRACE,TRUE_KELVIN_FROM_SHUNT_SENSE_TERMINAL_NO_SHARED_LOAD_COPPER_HI_Z_TP_BRANCH_ONLY,PAIRED_SAME_LAYER_QUIET_CORRIDOR_TO_INA226,ZERO_VIA_TARGET_NO_SHARED_LOAD_OR_PLANE_VIA,KEEP_AWAY_FROM_SWITCH_NODES_INDUCTORS_GATE_DRIVE_AND_HIGH_DI_DT_LOOPS,P0,hardware/PCB_PWR_CAPTURE_NETS_REV_A.csv;hardware/POWER_DESIGN_BASELINE_REV_A.json;hardware/kicad/PCB_RULES.md;hardware/PCB_LAYER_COUNT_AUTHORITY_REV_A.csv;hardware/PCB_PWR_REVIEW_A_PIN_NET_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
SW_3V3,SWITCH_NODE,GND_PWR,LOCAL_BUCK_SW_TO_INDUCTOR_AND_BOOTSTRAP_ONLY,LMR60440_3V3_CHANNEL_4A_RATED_SWITCHING_LOOP,SHORTEST_PRACTICAL_MINIMUM_AREA_NO_PLANE_NO_TEST_STUB,F_CU_LOCAL_ONLY_NO_COPPER_BELOW_UNLESS_DATASHEET_THERMAL_REVIEWED,ZERO_VIA_TARGET_ANY_EXCEPTION_REQUIRES_REVIEW_B,KEEP_AWAY_FROM_KELVIN_FEEDBACK_I2C_CONNECTORS_AND_BOARD_EDGE,P0,hardware/PCB_PWR_CAPTURE_NETS_REV_A.csv;hardware/POWER_DESIGN_BASELINE_REV_A.json;hardware/kicad/PCB_RULES.md;hardware/PCB_LAYER_COUNT_AUTHORITY_REV_A.csv;hardware/PCB_PWR_REVIEW_A_PIN_NET_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
SW_3V8,SWITCH_NODE,GND_PWR,LOCAL_BUCK_SW_TO_INDUCTOR_AND_BOOTSTRAP_ONLY,LMR60440_3V8_CHANNEL_4A_RATED_SWITCHING_LOOP,SHORTEST_PRACTICAL_MINIMUM_AREA_NO_PLANE_NO_TEST_STUB,F_CU_LOCAL_ONLY_NO_COPPER_BELOW_UNLESS_DATASHEET_THERMAL_REVIEWED,ZERO_VIA_TARGET_ANY_EXCEPTION_REQUIRES_REVIEW_B,KEEP_AWAY_FROM_KELVIN_FEEDBACK_I2C_CONNECTORS_AND_BOARD_EDGE,P0,hardware/PCB_PWR_CAPTURE_NETS_REV_A.csv;hardware/POWER_DESIGN_BASELINE_REV_A.json;hardware/kicad/PCB_RULES.md;hardware/PCB_LAYER_COUNT_AUTHORITY_REV_A.csv;hardware/PCB_PWR_REVIEW_A_PIN_NET_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
VBAT_FUSED,POWER_INPUT_HIGH_CURRENT,GND_PWR,SERIES_INPUT_PROTECTION_AND_SHUNT_CHAIN,SYSTEM_EXPECTED_MAX_5A_FAULT_AND_TRANSIENT_ENVELOPE_OPEN,WIDTH_AND_COPPER_FROM_5A_DC_DROP_FAULT_ENERGY_PLUS70C_THERMAL_REVIEW,OUTER_AND_PLANE_COPPER_AFTER_CURRENT_DENSITY_AND_STACKUP_ACCEPTANCE,VIA_ARRAY_COUNT_FROM_CURRENT_DENSITY_AND_THERMAL_REVIEW_NO_SINGLE_VIA_NECKDOWN,KEEP_CLEAR_OF_SWITCH_NODE_AND_UNRELATED_SENSITIVE_NETWORKS,P0,hardware/PCB_PWR_CAPTURE_NETS_REV_A.csv;hardware/POWER_DESIGN_BASELINE_REV_A.json;hardware/kicad/PCB_RULES.md;hardware/PCB_LAYER_COUNT_AUTHORITY_REV_A.csv;hardware/PCB_PWR_REVIEW_A_PIN_NET_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
