RefDes,Category,Manufacturer,MPN,Package,Value,Population,Temperature_C,Logical_Net,Pin_Map,Electrical_Path,Disposition,Authority,Notes
C1,Capacitor,Murata,GRM155R71E104KE14D,0402,100 nF 25 V X7R,FITTED,-55..125,3V3_DIGITAL,1=3V3_DIGITAL;2=GND,U1 VDD pin 11 local bypass,LOCKED_FITTED,ST_AN5373_Rev7,Place at U1 pin 11
C37,Capacitor,Murata,GRM155R71E224KE14D,0402,220 nF 25 V X7R,FITTED,-55..125,3V8_MODEM_BB,1=3V8_MODEM_BB;2=GND_MODEM,U8 VBAT_BB broadband bypass,LOCKED_FITTED,Quectel_BG95_HW_Design_v1.6,Place in Quectel value sequence
C38,Capacitor,Murata,GRM155R71E473KA01D,0402,47 nF 25 V X7R,FITTED,-55..125,3V8_MODEM_BB,1=3V8_MODEM_BB;2=GND_MODEM,U8 VBAT_BB broadband bypass,LOCKED_FITTED,Quectel_BG95_HW_Design_v1.6,Place in Quectel value sequence
C39,Capacitor,Murata,GRM1555C1H151JA01D,0402,150 pF 50 V C0G,FITTED,-55..125,3V8_MODEM_BB,1=3V8_MODEM_BB;2=GND_MODEM,U8 VBAT_BB RF bypass,LOCKED_FITTED,Quectel_BG95_HW_Design_v1.6,Place in Quectel value sequence
C40,Capacitor,Murata,GRM1555C1H101JA01D,0402,100 pF 50 V C0G,FITTED,-55..125,3V8_MODEM_BB,1=3V8_MODEM_BB;2=GND_MODEM,U8 VBAT_BB RF bypass,LOCKED_FITTED,Quectel_BG95_HW_Design_v1.6,Place in Quectel value sequence
C41,Capacitor,Murata,GRM1555C1H680JA01D,0402,68 pF 50 V C0G,FITTED,-55..125,3V8_MODEM_BB,1=3V8_MODEM_BB;2=GND_MODEM,U8 VBAT_BB RF bypass,LOCKED_FITTED,Quectel_BG95_HW_Design_v1.6,Place in Quectel value sequence
C42,Capacitor,Murata,GRM1555C1H330JA01D,0402,33 pF 50 V C0G,FITTED,-55..125,3V8_MODEM_BB,1=3V8_MODEM_BB;2=GND_MODEM,U8 VBAT_BB RF bypass,LOCKED_FITTED,Quectel_BG95_HW_Design_v1.6,Place in Quectel value sequence
C43,Capacitor,Murata,GRM1555C1H100JA01D,0402,10 pF 50 V C0G,FITTED,-55..125,3V8_MODEM_BB,1=3V8_MODEM_BB;2=GND_MODEM,U8 VBAT_BB RF bypass,LOCKED_FITTED,Quectel_BG95_HW_Design_v1.6,Place in Quectel value sequence
C44,Capacitor,KEMET,T520D107M006ATE015,7343-31,100 uF 6.3 V 15 mOhm polymer,FITTED,-55..105,3V8_MODEM_RF,1=3V8_MODEM_RF;2=GND_MODEM,U8 VBAT_RF local burst bulk,LOCKED_FITTED,Quectel_BG95_HW_Design_v1.6,Verify voltage droop and ripple current
C45,Capacitor,Murata,GRM155R71E104KE14D,0402,100 nF 25 V X7R,FITTED,-55..125,3V8_MODEM_RF,1=3V8_MODEM_RF;2=GND_MODEM,U8 VBAT_RF broadband bypass,LOCKED_FITTED,Quectel_BG95_HW_Design_v1.6,Place at RF VBAT pads
C46,Capacitor,Murata,GRM1555C1H330JA01D,0402,33 pF 50 V C0G,FITTED,-55..125,3V8_MODEM_RF,1=3V8_MODEM_RF;2=GND_MODEM,U8 VBAT_RF RF bypass,LOCKED_FITTED,Quectel_BG95_HW_Design_v1.6,Place at RF VBAT pads
C47,Capacitor,Murata,GRM1555C1H100JA01D,0402,10 pF 50 V C0G,FITTED,-55..125,3V8_MODEM_RF,1=3V8_MODEM_RF;2=GND_MODEM,U8 VBAT_RF RF bypass,LOCKED_FITTED,Quectel_BG95_HW_Design_v1.6,Place at RF VBAT pads
C48,Capacitor,Murata,GRM155R71E103KA01D,0402,10 nF 25 V X7R,FITTED,-55..125,U8_PWRKEY_N,1=U8_PWRKEY_N;2=GND_MODEM,Q1 collector and U8 PWRKEY pulse filter,LOCKED_FITTED,Quectel_BG95_HW_Design_v1.6,No corresponding large capacitor on RESET_N
C49,Capacitor,Murata,GRM155R71E104KE14D,0402,100 nF 25 V X7R,FITTED,-55..125,3V3_DIGITAL,1=3V3_DIGITAL;2=GND_MODEM,U13 VCC pin 8 bypass,LOCKED_FITTED,TI_TS3A27518E_SCDS260F,Place at U13 pin 8
C50,Capacitor,Murata,GRM155R71E104KE14D,0402,100 nF 25 V X7R,FITTED,-55..125,SIM1_VDD_CONN,1=SIM1_VDD_CONN;2=GND_MODEM,J6 local selected SIM supply bypass,LOCKED_FITTED,Quectel_BG95_HW_Design_v1.6,Place connector side of series path
C51,Capacitor,Murata,GRM155R71E104KE14D,0402,100 nF 25 V X7R,FITTED,-55..125,SIM2_VDD_CONN,1=SIM2_VDD_CONN;2=GND_MODEM,J7 local selected SIM supply bypass,LOCKED_FITTED,Quectel_BG95_HW_Design_v1.6,Place connector side of series path
C52,Capacitor,Murata,GRM155R71E103KA01D,0402,10 nF 25 V X7R,FITTED,-55..125,SIM1_DET,1=SIM1_DET;2=GND_MODEM,J6 card detect hardware debounce,LOCKED_FITTED,TE_C-2336582_A2,Firmware debounce remains at least 20 ms
C53,Capacitor,Murata,GRM155R71E103KA01D,0402,10 nF 25 V X7R,FITTED,-55..125,SIM2_DET,1=SIM2_DET;2=GND_MODEM,J7 card detect hardware debounce,LOCKED_FITTED,TE_C-2336582_A2,Firmware debounce remains at least 20 ms
C54,Capacitor,Murata,GRM1555C1H330JA01D,0402,33 pF 50 V C0G,DNP,-55..125,SIM1_RST_CONN,1=SIM1_RST_CONN;2=GND_MODEM,J6 reset shunt tuning position,LOCKED_DNP,Quectel_BG95_HW_Design_v1.6,Populate only from signed SIM edge evidence
C55,Capacitor,Murata,GRM1555C1H330JA01D,0402,33 pF 50 V C0G,DNP,-55..125,SIM1_CLK_CONN,1=SIM1_CLK_CONN;2=GND_MODEM,J6 clock shunt tuning position,LOCKED_DNP,Quectel_BG95_HW_Design_v1.6,Populate only from signed SIM edge evidence
C56,Capacitor,Murata,GRM1555C1H330JA01D,0402,33 pF 50 V C0G,DNP,-55..125,SIM1_DATA_CONN,1=SIM1_DATA_CONN;2=GND_MODEM,J6 data shunt tuning position,LOCKED_DNP,Quectel_BG95_HW_Design_v1.6,Populate only from signed SIM edge evidence
C57,Capacitor,Murata,GRM1555C1H330JA01D,0402,33 pF 50 V C0G,DNP,-55..125,SIM2_RST_CONN,1=SIM2_RST_CONN;2=GND_MODEM,J7 reset shunt tuning position,LOCKED_DNP,Quectel_BG95_HW_Design_v1.6,Populate only from signed SIM edge evidence
C58,Capacitor,Murata,GRM1555C1H330JA01D,0402,33 pF 50 V C0G,DNP,-55..125,SIM2_CLK_CONN,1=SIM2_CLK_CONN;2=GND_MODEM,J7 clock shunt tuning position,LOCKED_DNP,Quectel_BG95_HW_Design_v1.6,Populate only from signed SIM edge evidence
C59,Capacitor,Murata,GRM1555C1H330JA01D,0402,33 pF 50 V C0G,DNP,-55..125,SIM2_DATA_CONN,1=SIM2_DATA_CONN;2=GND_MODEM,J7 data shunt tuning position,LOCKED_DNP,Quectel_BG95_HW_Design_v1.6,Populate only from signed SIM edge evidence
C60,Capacitor,Murata,GRM155R71E104KE14D,0402,100 nF 25 V X7R,FITTED,-55..125,3V3_DIGITAL,1=3V3_DIGITAL;2=GND,U9 VCC pin 8 bypass,LOCKED_FITTED,u-blox_UBX-20053088_R05,Place at U9 pin 8
C61,Capacitor,Murata,GRM188R61A106KE69D,0603,10 uF 10 V X5R,FITTED,-55..85,3V3_DIGITAL,1=3V3_DIGITAL;2=GND,U9 VCC pin 8 local bulk,LOCKED_FITTED,u-blox_UBX-20053088_R05,Total feed resistance must remain at most 0.2 Ohm
C62,Capacitor,Murata,GRM155R71E104KE14D,0402,100 nF 25 V X7R,FITTED,-55..125,3V3_DIGITAL,1=3V3_DIGITAL;2=GND,U9 V_IO pin 7 bypass,LOCKED_FITTED,u-blox_UBX-20053088_R05,Place at U9 pin 7
C63,Capacitor,Murata,GRM155R71C103KA01D,0402,10 nF 16 V X7R,FITTED,-55..125,GNSS_ANT_SHORT_N,1=GNSS_ANT_SHORT_N;2=GND,Figure 38 antenna current sense filter C14,LOCKED_FITTED,u-blox_UBX-20053088_R05,Keep at R62 and L2 junction
C64,Capacitor,Murata,GRM1555C1E470JA01D,0402,47 pF 25 V C0G,FITTED,-55..125,GNSS_RF_DC_BLOCK,1=GNSS_RF_ANT_BIASED;2=GNSS_RF_DC_BLOCK,Figure 38 external RF DC block C18,LOCKED_FITTED,u-blox_UBX-20053088_R05,Series before FL1 input C
C65,Capacitor,Murata,GRM155R71E104KE14D,0402,100 nF 25 V X7R,FITTED,-55..125,GNSS_ANT_BIAS_RAW,1=GNSS_ANT_BIAS_RAW;2=GND,U5 local supply bypass,LOCKED_FITTED,ADI_LT6000_datasheet,Place at U5 pin 4
C66,Capacitor,Murata,GRM155R71E104KE14D,0402,100 nF 25 V X7R,FITTED,-55..125,3V3_DIGITAL,1=3V3_DIGITAL;2=GND,U10 VCC pin 9 bypass,LOCKED_FITTED,Ebyte_E22-M_v1.2,Place at U10 pin 9
C67,Capacitor,Murata,GRM188R61A106KE69D,0603,10 uF 10 V X5R,FITTED,-55..85,3V3_DIGITAL,1=3V3_DIGITAL;2=GND,U10 VCC pin 9 local bulk,LOCKED_FITTED,Ebyte_E22-M_v1.2,Verify transmit burst droop
C68,Capacitor,Murata,GRM155R71E104KE14D,0402,100 nF 25 V X7R,FITTED,-55..125,LORA_RESET_N,1=LORA_RESET_N;2=GND,U10 reset RC capacitor,LOCKED_FITTED,Ebyte_E22-M_v1.2,Place at U10 pin 15
C69,Capacitor,Murata,GRM1555C1H100JA01D,0402,10 pF 50 V C0G,DNP,-55..125,LORA_RF_MODULE,1=LORA_RF_MODULE;2=GND,LoRa pi network module-side shunt,LOCKED_DNP,Ebyte_E22-M_v1.2,Populate only from signed VNA evidence
C70,Capacitor,Murata,GRM1555C1H100JA01D,0402,10 pF 50 V C0G,DNP,-55..125,LORA_RF_ANT,1=LORA_RF_ANT;2=GND,LoRa pi network connector-side shunt,LOCKED_DNP,Ebyte_E22-M_v1.2,Populate only from signed VNA evidence
C71,Capacitor,Murata,GRM155R71E104KE14D,0402,100 nF 25 V X7R,FITTED,-55..125,3V3_DIGITAL,1=3V3_DIGITAL;2=GND,U11 VDD pin 28 bypass,LOCKED_FITTED,Raytac_MDBT50Q_Spec_Version_L,Place at U11 pin 28
C72,Capacitor,Murata,GRM188R61A106KE69D,0603,10 uF 10 V X5R,FITTED,-55..85,3V3_DIGITAL,1=3V3_DIGITAL;2=GND,U11 VDD and VDDH local bulk,LOCKED_FITTED,Raytac_MDBT50Q_Spec_Version_L,Normal-voltage mode with VDD and VDDH joined
C73,Capacitor,Murata,GRM155R71E104KE14D,0402,100 nF 25 V X7R,FITTED,-55..125,3V3_DIGITAL,1=3V3_DIGITAL;2=GND,U6 local supply bypass,LOCKED_FITTED,TI_SN74LVC1G07_datasheet,Place at U6 pin 5
C74,Capacitor,Murata,GRM155R71E104KE14D,0402,100 nF 25 V X7R,FITTED,-55..125,3V3_DIGITAL,1=3V3_DIGITAL;2=GND,J12 microSD local bypass,LOCKED_FITTED,SD_Association_microSD,J12 VDD connector-side
C75,Capacitor,Murata,GRM188R61A106KE69D,0603,10 uF 10 V X5R,FITTED,-55..85,3V3_DIGITAL,1=3V3_DIGITAL;2=GND,J12 microSD local bulk,LOCKED_FITTED,SD_Association_microSD,Verify insertion transient
C76,Capacitor,Murata,GRM155R71E103KA01D,0402,10 nF 25 V X7R,FITTED,-55..125,SD_DET,1=SD_DET;2=GND,J12 card detect hardware debounce,LOCKED_FITTED,GCT_MEM2052_official_product_data,Firmware debounce remains mandatory
C77,Capacitor,Murata,GRM155R72A472KA01D,0402,4.7 nF 100 V X7R,FITTED,-55..125,USB_SHIELD,1=USB_SHIELD;2=GND,Controlled USB shield AC bond,LOCKED_FITTED,PROJECT_EMC_BASELINE,Parallel with R97 and optional R98
C78,Capacitor,Murata,GRM155R71E103KA01D,0402,10 nF 25 V X7R,FITTED,-55..125,TAMPER_IN_U1,1=TAMPER_IN_U1;2=GND,Tamper input hardware debounce after R100,LOCKED_FITTED,PROJECT_MAIN_AUTH_010,Firmware debounce and open-circuit alarm remain mandatory
C79,Capacitor,Murata,GRM1555C1H100JA01D,0402,10 pF 50 V C0G,DNP,-55..125,CELL_RF,1=CELL_RF;2=GND_MODEM,Cellular pi network module-side shunt,LOCKED_DNP,Quectel_BG95_HW_Design_v1.6,Populate only from signed VNA evidence
C80,Capacitor,Murata,GRM1555C1H100JA01D,0402,10 pF 50 V C0G,DNP,-55..125,CELL_RF_ANT,1=CELL_RF_ANT;2=GND_MODEM,Cellular pi network connector-side shunt,LOCKED_DNP,Quectel_BG95_HW_Design_v1.6,Populate only from signed VNA evidence
R1,Resistor,Panasonic,ERJ-2RKF1002X,0402,10 kOhm 1%,FITTED,-55..155,NRST,1=3V3_DIGITAL;2=NRST,U1 normal reset pull-up,LOCKED_FITTED,ST_AN5373_Rev7,Works with C18 and direct SWD fixture access
R2,Resistor,Panasonic,ERJ-2RKF1003X,0402,100 kOhm 1%,FITTED,-55..155,BOOT0,1=BOOT0;2=GND,U1 BOOT0 normal-state pull-down,LOCKED_FITTED,ST_AN2606,Fixture may drive only while reset is asserted
R3,Resistor,Panasonic,ERJ-2RKF1003X,0402,100 kOhm 1%,FITTED,-55..155,HW_REV0,1=HW_REV0;2=GND,Rev.A strap bit zero fitted pull-down,LOCKED_FITTED,PROJECT_MAIN_AUTH_010,Rev.A encoding is binary 00
R4,Resistor,Panasonic,ERJ-2RKF1003X,0402,100 kOhm 1%,DNP,-55..155,HW_REV0,1=3V3_DIGITAL;2=HW_REV0,Revision bit zero alternate pull-up,LOCKED_DNP,PROJECT_MAIN_AUTH_010,Never populate together with R3
R5,Resistor,Panasonic,ERJ-2RKF1003X,0402,100 kOhm 1%,FITTED,-55..155,HW_REV1,1=HW_REV1;2=GND,Rev.A strap bit one fitted pull-down,LOCKED_FITTED,PROJECT_MAIN_AUTH_010,Rev.A encoding is binary 00
R6,Resistor,Panasonic,ERJ-2RKF1003X,0402,100 kOhm 1%,DNP,-55..155,HW_REV1,1=3V3_DIGITAL;2=HW_REV1,Revision bit one alternate pull-up,LOCKED_DNP,PROJECT_MAIN_AUTH_010,Never populate together with R5
R7,Resistor,Panasonic,ERJ-2RKF1002X,0402,10 kOhm 1%,FITTED,-55..155,NOR_NCS_U2,1=3V3_DIGITAL;2=NOR_NCS_U2,U2 chip-select safe-state pull-up,LOCKED_FITTED,Winbond_W25Q512JV_RevB,Device remains deselected during MCU reset
R8,Resistor,Panasonic,ERJ-2RKF22R0X,0402,22 Ohm 1%,FITTED,-55..155,NOR_CLK,1=NOR_CLK_U1;2=NOR_CLK_U2,OCTOSPI clock source damping at U1,LOCKED_FITTED,PROJECT_MAIN_AUTH_010,Review A may change only from measured SI evidence
R9,Resistor,Panasonic,ERJ-2RKF22R0X,0402,22 Ohm 1%,FITTED,-55..155,NOR_IO0,1=NOR_IO0_U1;2=NOR_IO0_U2,OCTOSPI IO0 series damping,LOCKED_FITTED,PROJECT_MAIN_AUTH_010,Review A may change only from measured SI evidence
R10,Resistor,Panasonic,ERJ-2RKF22R0X,0402,22 Ohm 1%,FITTED,-55..155,NOR_IO1,1=NOR_IO1_U1;2=NOR_IO1_U2,OCTOSPI IO1 series damping,LOCKED_FITTED,PROJECT_MAIN_AUTH_010,Review A may change only from measured SI evidence
R11,Resistor,Panasonic,ERJ-2RKF22R0X,0402,22 Ohm 1%,FITTED,-55..155,NOR_IO2,1=NOR_IO2_U1;2=NOR_IO2_U2,OCTOSPI IO2 series damping,LOCKED_FITTED,PROJECT_MAIN_AUTH_010,Review A may change only from measured SI evidence
R12,Resistor,Panasonic,ERJ-2RKF22R0X,0402,22 Ohm 1%,FITTED,-55..155,NOR_IO3,1=NOR_IO3_U1;2=NOR_IO3_U2,OCTOSPI IO3 series damping,LOCKED_FITTED,PROJECT_MAIN_AUTH_010,Review A may change only from measured SI evidence
R13,Resistor,Panasonic,ERJ-2RKF2201X,0402,2.2 kOhm 1%,FITTED,-55..155,I2C2_SCL_BUS,1=3V3_DIGITAL;2=I2C2_SCL_BUS,Authoritative PCB-MAIN I2C2 SCL pull-up,LOCKED_FITTED,I2C_UM10204,PCB-PWR pull-up footprint remains DNP
R14,Resistor,Panasonic,ERJ-2RKF2201X,0402,2.2 kOhm 1%,FITTED,-55..155,I2C2_SDA_BUS,1=3V3_DIGITAL;2=I2C2_SDA_BUS,Authoritative PCB-MAIN I2C2 SDA pull-up,LOCKED_FITTED,I2C_UM10204,PCB-PWR pull-up footprint remains DNP
R15,Resistor,Panasonic,ERJ-2RKF22R0X,0402,22 Ohm 1%,FITTED,-55..155,I2C2_SCL,1=I2C2_SCL_U1;2=I2C2_SCL_BUS,I2C2 SCL master-side series damping,LOCKED_FITTED,PROJECT_MAIN_AUTH_010,Place adjacent to U1
R16,Resistor,Panasonic,ERJ-2RKF22R0X,0402,22 Ohm 1%,FITTED,-55..155,I2C2_SDA,1=I2C2_SDA_U1;2=I2C2_SDA_BUS,I2C2 SDA master-side series damping,LOCKED_FITTED,PROJECT_MAIN_AUTH_010,Place adjacent to U1
R17,Resistor,Panasonic,ERJ-2RKF22R0X,0402,22 Ohm 1%,FITTED,-55..155,PDM_CLK_1V8,1=PDM_CLK_1V8_U7;2=PDM_CLK_1V8_FANOUT,PDM clock source termination at U7,LOCKED_FITTED,PROJECT_MAIN_AUTH_010,Verify all four harness edges and skew
R18,Resistor,Panasonic,ERJ-2RKF22R0X,0402,22 Ohm 1%,FITTED,-55..155,AAD_CFG_1V8,1=AAD_CFG_1V8_U7;2=AAD_CFG_1V8_FANOUT,AAD configuration fanout damping at U7,LOCKED_FITTED,PROJECT_MAIN_AUTH_010,Verify one-wire writes on all four leaves
