Harness_ID,Conductor_ID,From_Assembly,From_Connector,From_Cavity,To_Assembly,To_Connector,To_Cavity,Net,Wire_Gauge,Wire_Color,Routing_Rule,From_Terminal_MPN,To_Terminal_MPN,Cut_Length_mm,Length_Tolerance_mm,End_Label,Continuity_Test,Release_Status,Release_Blocker
H-MIC2,MIC2-05,PCB-MAIN,J_MIC2_MATING_5040510601,5,PCB-MIC2,J1_MATING_5040510601,5,MIC_WAKE2,AWG24_TE_55A0111-24_OD0P94MM,VIOLET,KEEP_ADJACENT_TO_GND_AVOID_CLK_CROSSTALK,5040520098,5040520098,275,5,MIC2-A__MIC2-B,100_PERCENT_PIN_TO_PIN_NO_CROSS_SHORTS,EVT_BUILD_RELEASED_FIRST_ARTICLE_REQUIRED,EVT installed-route PDM AAD strain-relief validation
H-MIC2,MIC2-06,PCB-MAIN,J_MIC2_MATING_5040510601,6,PCB-MIC2,J1_MATING_5040510601,6,AAD_CFG,AWG24_TE_55A0111-24_OD0P94MM,GREY,KEEP_ADJACENT_TO_GND_AVOID_CLK_CROSSTALK,5040520098,5040520098,275,5,MIC2-A__MIC2-B,100_PERCENT_PIN_TO_PIN_NO_CROSS_SHORTS,EVT_BUILD_RELEASED_FIRST_ARTICLE_REQUIRED,EVT installed-route PDM AAD strain-relief validation
H-MIC3,MIC3-01,PCB-MAIN,J_MIC3_MATING_5040510601,1,PCB-MIC3,J1_MATING_5040510601,1,1V8_MIC,AWG24_TE_55A0111-24_OD0P94MM,RED,BUNDLE_WITH_GND,5040520098,5040520098,275,5,MIC3-A__MIC3-B,100_PERCENT_PIN_TO_PIN_NO_CROSS_SHORTS,EVT_BUILD_RELEASED_FIRST_ARTICLE_REQUIRED,EVT installed-route PDM AAD strain-relief validation
H-MIC3,MIC3-02,PCB-MAIN,J_MIC3_MATING_5040510601,2,PCB-MIC3,J1_MATING_5040510601,2,GND,AWG24_TE_55A0111-24_OD0P94MM,BLACK,COMMON_RETURN_ADJACENT_TO_SIGNAL_GROUP,5040520098,5040520098,275,5,MIC3-A__MIC3-B,100_PERCENT_PIN_TO_PIN_NO_CROSS_SHORTS,EVT_BUILD_RELEASED_FIRST_ARTICLE_REQUIRED,EVT installed-route PDM AAD strain-relief validation
H-MIC3,MIC3-03,PCB-MAIN,J_MIC3_MATING_5040510601,3,PCB-MIC3,J1_MATING_5040510601,3,PDM_CLK,AWG24_TE_55A0111-24_OD0P94MM,WHITE,KEEP_ADJACENT_TO_GND_AVOID_DATA_PARALLEL_RUN,5040520098,5040520098,275,5,MIC3-A__MIC3-B,100_PERCENT_PIN_TO_PIN_NO_CROSS_SHORTS,EVT_BUILD_RELEASED_FIRST_ARTICLE_REQUIRED,EVT installed-route PDM AAD strain-relief validation
H-MIC3,MIC3-04,PCB-MAIN,J_MIC3_MATING_5040510601,4,PCB-MIC3,J1_MATING_5040510601,4,PDM_DATA3,AWG24_TE_55A0111-24_OD0P94MM,GREEN,KEEP_ADJACENT_TO_GND_AVOID_CLK_PARALLEL_RUN,5040520098,5040520098,275,5,MIC3-A__MIC3-B,100_PERCENT_PIN_TO_PIN_NO_CROSS_SHORTS,EVT_BUILD_RELEASED_FIRST_ARTICLE_REQUIRED,EVT installed-route PDM AAD strain-relief validation
H-MIC3,MIC3-05,PCB-MAIN,J_MIC3_MATING_5040510601,5,PCB-MIC3,J1_MATING_5040510601,5,MIC_WAKE3,AWG24_TE_55A0111-24_OD0P94MM,VIOLET,KEEP_ADJACENT_TO_GND_AVOID_CLK_CROSSTALK,5040520098,5040520098,275,5,MIC3-A__MIC3-B,100_PERCENT_PIN_TO_PIN_NO_CROSS_SHORTS,EVT_BUILD_RELEASED_FIRST_ARTICLE_REQUIRED,EVT installed-route PDM AAD strain-relief validation
H-MIC3,MIC3-06,PCB-MAIN,J_MIC3_MATING_5040510601,6,PCB-MIC3,J1_MATING_5040510601,6,AAD_CFG,AWG24_TE_55A0111-24_OD0P94MM,GREY,KEEP_ADJACENT_TO_GND_AVOID_CLK_CROSSTALK,5040520098,5040520098,275,5,MIC3-A__MIC3-B,100_PERCENT_PIN_TO_PIN_NO_CROSS_SHORTS,EVT_BUILD_RELEASED_FIRST_ARTICLE_REQUIRED,EVT installed-route PDM AAD strain-relief validation
H-MIC4,MIC4-01,PCB-MAIN,J_MIC4_MATING_5040510601,1,PCB-MIC4,J1_MATING_5040510601,1,1V8_MIC,AWG24_TE_55A0111-24_OD0P94MM,RED,BUNDLE_WITH_GND,5040520098,5040520098,275,5,MIC4-A__MIC4-B,100_PERCENT_PIN_TO_PIN_NO_CROSS_SHORTS,EVT_BUILD_RELEASED_FIRST_ARTICLE_REQUIRED,EVT installed-route PDM AAD strain-relief validation
H-MIC4,MIC4-02,PCB-MAIN,J_MIC4_MATING_5040510601,2,PCB-MIC4,J1_MATING_5040510601,2,GND,AWG24_TE_55A0111-24_OD0P94MM,BLACK,COMMON_RETURN_ADJACENT_TO_SIGNAL_GROUP,5040520098,5040520098,275,5,MIC4-A__MIC4-B,100_PERCENT_PIN_TO_PIN_NO_CROSS_SHORTS,EVT_BUILD_RELEASED_FIRST_ARTICLE_REQUIRED,EVT installed-route PDM AAD strain-relief validation
H-MIC4,MIC4-03,PCB-MAIN,J_MIC4_MATING_5040510601,3,PCB-MIC4,J1_MATING_5040510601,3,PDM_CLK,AWG24_TE_55A0111-24_OD0P94MM,WHITE,KEEP_ADJACENT_TO_GND_AVOID_DATA_PARALLEL_RUN,5040520098,5040520098,275,5,MIC4-A__MIC4-B,100_PERCENT_PIN_TO_PIN_NO_CROSS_SHORTS,EVT_BUILD_RELEASED_FIRST_ARTICLE_REQUIRED,EVT installed-route PDM AAD strain-relief validation
H-MIC4,MIC4-04,PCB-MAIN,J_MIC4_MATING_5040510601,4,PCB-MIC4,J1_MATING_5040510601,4,PDM_DATA4,AWG24_TE_55A0111-24_OD0P94MM,ORANGE,KEEP_ADJACENT_TO_GND_AVOID_CLK_PARALLEL_RUN,5040520098,5040520098,275,5,MIC4-A__MIC4-B,100_PERCENT_PIN_TO_PIN_NO_CROSS_SHORTS,EVT_BUILD_RELEASED_FIRST_ARTICLE_REQUIRED,EVT installed-route PDM AAD strain-relief validation
H-MIC4,MIC4-05,PCB-MAIN,J_MIC4_MATING_5040510601,5,PCB-MIC4,J1_MATING_5040510601,5,MIC_WAKE4,AWG24_TE_55A0111-24_OD0P94MM,VIOLET,KEEP_ADJACENT_TO_GND_AVOID_CLK_CROSSTALK,5040520098,5040520098,275,5,MIC4-A__MIC4-B,100_PERCENT_PIN_TO_PIN_NO_CROSS_SHORTS,EVT_BUILD_RELEASED_FIRST_ARTICLE_REQUIRED,EVT installed-route PDM AAD strain-relief validation
H-MIC4,MIC4-06,PCB-MAIN,J_MIC4_MATING_5040510601,6,PCB-MIC4,J1_MATING_5040510601,6,AAD_CFG,AWG24_TE_55A0111-24_OD0P94MM,GREY,KEEP_ADJACENT_TO_GND_AVOID_CLK_CROSSTALK,5040520098,5040520098,275,5,MIC4-A__MIC4-B,100_PERCENT_PIN_TO_PIN_NO_CROSS_SHORTS,EVT_BUILD_RELEASED_FIRST_ARTICLE_REQUIRED,EVT installed-route PDM AAD strain-relief validation
H-MAIN-PWR,PWR-01,PCB-PWR,J_MAIN_PWR_MATING_430251200,1,PCB-MAIN,J_PWR_MATING_430251200,1,3V8_MODEM,AWG18_TE_55A0111-18_OD1P52MM,RED,DEDICATED_WITH_RETURN_PIN_2,430300038,430300038,440,5,PWR-A__MAIN-B,100_PERCENT_PIN_TO_PIN_NO_CROSS_SHORTS,EVT_BUILD_RELEASED_FIRST_ARTICLE_REQUIRED,EVT rail-drop thermal and I2C 100kHz validation
H-MAIN-PWR,PWR-02,PCB-PWR,J_MAIN_PWR_MATING_430251200,2,PCB-MAIN,J_PWR_MATING_430251200,2,GND_MODEM,AWG18_TE_55A0111-18_OD1P52MM,BLACK,DEDICATED_RETURN_FOR_PIN_1,430300038,430300038,440,5,PWR-A__MAIN-B,100_PERCENT_PIN_TO_PIN_NO_CROSS_SHORTS,EVT_BUILD_RELEASED_FIRST_ARTICLE_REQUIRED,EVT rail-drop thermal and I2C 100kHz validation
H-MAIN-PWR,PWR-03,PCB-PWR,J_MAIN_PWR_MATING_430251200,3,PCB-MAIN,J_PWR_MATING_430251200,3,3V3_DIGITAL,AWG18_TE_55A0111-18_OD1P52MM,ORANGE,DEDICATED_WITH_RETURN_PIN_4,430300038,430300038,440,5,PWR-A__MAIN-B,100_PERCENT_PIN_TO_PIN_NO_CROSS_SHORTS,EVT_BUILD_RELEASED_FIRST_ARTICLE_REQUIRED,EVT rail-drop thermal and I2C 100kHz validation
H-MAIN-PWR,PWR-04,PCB-PWR,J_MAIN_PWR_MATING_430251200,4,PCB-MAIN,J_PWR_MATING_430251200,4,GND_DIGITAL,AWG18_TE_55A0111-18_OD1P52MM,BLACK_WHITE,DEDICATED_RETURN_FOR_PIN_3,430300038,430300038,440,5,PWR-A__MAIN-B,100_PERCENT_PIN_TO_PIN_NO_CROSS_SHORTS,EVT_BUILD_RELEASED_FIRST_ARTICLE_REQUIRED,EVT rail-drop thermal and I2C 100kHz validation
H-MAIN-PWR,PWR-05,PCB-PWR,J_MAIN_PWR_MATING_430251200,5,PCB-MAIN,J_PWR_MATING_430251200,5,1V8_MIC,AWG18_TE_55A0111-18_OD1P52MM,BROWN,DEDICATED_WITH_RETURN_PIN_6,430300038,430300038,440,5,PWR-A__MAIN-B,100_PERCENT_PIN_TO_PIN_NO_CROSS_SHORTS,EVT_BUILD_RELEASED_FIRST_ARTICLE_REQUIRED,EVT rail-drop thermal and I2C 100kHz validation
H-MAIN-PWR,PWR-06,PCB-PWR,J_MAIN_PWR_MATING_430251200,6,PCB-MAIN,J_PWR_MATING_430251200,6,GND_MIC,AWG18_TE_55A0111-18_OD1P52MM,BLACK_BLUE,DEDICATED_RETURN_FOR_PIN_5,430300038,430300038,440,5,PWR-A__MAIN-B,100_PERCENT_PIN_TO_PIN_NO_CROSS_SHORTS,EVT_BUILD_RELEASED_FIRST_ARTICLE_REQUIRED,EVT rail-drop thermal and I2C 100kHz validation
H-MAIN-PWR,PWR-07,PCB-PWR,J_MAIN_PWR_MATING_430251200,7,PCB-MAIN,J_PWR_MATING_430251200,7,PWR_GOOD,AWG22_ALPHA_3051_OD1P575MM,WHITE,LOGIC_BUNDLE_KEEP_AWAY_FROM_SWITCH_NODES,430300001,430300001,440,5,PWR-A__MAIN-B,100_PERCENT_PIN_TO_PIN_NO_CROSS_SHORTS,EVT_BUILD_RELEASED_FIRST_ARTICLE_REQUIRED,EVT rail-drop thermal and I2C 100kHz validation
H-MAIN-PWR,PWR-08,PCB-PWR,J_MAIN_PWR_MATING_430251200,8,PCB-MAIN,J_PWR_MATING_430251200,8,FAULT,AWG22_ALPHA_3051_OD1P575MM,YELLOW,LOGIC_BUNDLE_KEEP_AWAY_FROM_SWITCH_NODES,430300001,430300001,440,5,PWR-A__MAIN-B,100_PERCENT_PIN_TO_PIN_NO_CROSS_SHORTS,EVT_BUILD_RELEASED_FIRST_ARTICLE_REQUIRED,EVT rail-drop thermal and I2C 100kHz validation
H-MAIN-PWR,PWR-09,PCB-PWR,J_MAIN_PWR_MATING_430251200,9,PCB-MAIN,J_PWR_MATING_430251200,9,EN_MODEM,AWG22_ALPHA_3051_OD1P575MM,GREEN,LOGIC_BUNDLE_KEEP_AWAY_FROM_SWITCH_NODES,430300001,430300001,440,5,PWR-A__MAIN-B,100_PERCENT_PIN_TO_PIN_NO_CROSS_SHORTS,EVT_BUILD_RELEASED_FIRST_ARTICLE_REQUIRED,EVT rail-drop thermal and I2C 100kHz validation
H-MAIN-PWR,PWR-10,PCB-PWR,J_MAIN_PWR_MATING_430251200,10,PCB-MAIN,J_PWR_MATING_430251200,10,EN_AUX,AWG22_ALPHA_3051_OD1P575MM,BLUE,LOGIC_BUNDLE_KEEP_AWAY_FROM_SWITCH_NODES,430300001,430300001,440,5,PWR-A__MAIN-B,100_PERCENT_PIN_TO_PIN_NO_CROSS_SHORTS,EVT_BUILD_RELEASED_FIRST_ARTICLE_REQUIRED,EVT rail-drop thermal and I2C 100kHz validation
H-MAIN-PWR,PWR-11,PCB-PWR,J_MAIN_PWR_MATING_430251200,11,PCB-MAIN,J_PWR_MATING_430251200,11,I2C2_SCL,AWG22_ALPHA_3051_OD1P575MM,VIOLET,ROUTE_WITH_PIN_12_AND_ADJACENT_GND_KEEP_SHORT,430300001,430300001,440,5,PWR-A__MAIN-B,100_PERCENT_PIN_TO_PIN_NO_CROSS_SHORTS,EVT_BUILD_RELEASED_FIRST_ARTICLE_REQUIRED,EVT rail-drop thermal and I2C 100kHz validation
H-MAIN-PWR,PWR-12,PCB-PWR,J_MAIN_PWR_MATING_430251200,12,PCB-MAIN,J_PWR_MATING_430251200,12,I2C2_SDA,AWG22_ALPHA_3051_OD1P575MM,GREY,ROUTE_WITH_PIN_11_AND_ADJACENT_GND_KEEP_SHORT,430300001,430300001,440,5,PWR-A__MAIN-B,100_PERCENT_PIN_TO_PIN_NO_CROSS_SHORTS,EVT_BUILD_RELEASED_FIRST_ARTICLE_REQUIRED,EVT rail-drop thermal and I2C 100kHz validation
H-BAT-PWR,BAT-01,SYSTEM-BAT1,RELION_RB40_M8_POSITIVE,+,PCB-PWR,J_PWR_IN_MATING_430250200,1,VBAT_PLUS,AWG18_TE_55A0111-18_OD1P52MM,RED,DEDICATED_WITH_RETURN,TE_8-34114-1_M8,430300038,330,5,BAT-A__PWR-B,100_PERCENT_POLARITY_CONTINUITY_NO_CROSS_SHORTS,EVT_BUILD_RELEASED_FIRST_ARTICLE_REQUIRED,EVT 5A plus70C minus40C crimp and strain validation
H-BAT-PWR,BAT-02,SYSTEM-BAT1,RELION_RB40_M8_NEGATIVE,-,PCB-PWR,J_PWR_IN_MATING_430250200,2,VBAT_MINUS,AWG18_TE_55A0111-18_OD1P52MM,BLACK,DEDICATED_RETURN,TE_8-34114-1_M8,430300038,330,5,BAT-A__PWR-B,100_PERCENT_POLARITY_CONTINUITY_NO_CROSS_SHORTS,EVT_BUILD_RELEASED_FIRST_ARTICLE_REQUIRED,EVT 5A plus70C minus40C crimp and strain validation
