RefDes,X_mm,Y_mm,Rotation_deg,Side,Functional_Zone,Placement_Status,Source_Authority,Notes
C11,50.00,14.00,0,TOP,BUCK_3V8,PROVISIONAL_HOT_LOOP_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,3V8 buck input capacitor
U3,55.00,14.00,0,TOP,BUCK_3V8,PROVISIONAL_HOT_LOOP_REVIEW_PENDING,PCB_PWR_PIN_AUTHORITY_REV_A.csv,3V8 regulator anchor
C4,53.00,10.00,0,TOP,BUCK_3V8,PROVISIONAL_HOT_LOOP_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,3V8 bootstrap capacitor
L1,62.00,14.00,0,TOP,BUCK_3V8,PROVISIONAL_HOT_LOOP_REVIEW_PENDING,PCB_PWR_FOOTPRINT_AUTHORITY_REV_A.md,3V8 inductor adjacent to SW output
C3,69.00,10.00,0,TOP,BUCK_3V8,PROVISIONAL_LOAD_STEP_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,3V8 output bank
C14,73.00,10.00,0,TOP,BUCK_3V8,PROVISIONAL_LOAD_STEP_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,3V8 output bank
C15,69.00,17.00,0,TOP,BUCK_3V8,PROVISIONAL_LOAD_STEP_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,3V8 output bank
C16,73.00,17.00,0,TOP,BUCK_3V8,PROVISIONAL_LOAD_STEP_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,3V8 output bank
R1,56.00,19.00,0,TOP,BUCK_3V8,PROVISIONAL_ANALOG_ROUTING_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,3V8 feedback upper resistor
R2,58.50,19.00,0,TOP,BUCK_3V8,PROVISIONAL_ANALOG_ROUTING_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,3V8 feedback lower resistor
R3,50.50,19.00,0,TOP,BUCK_3V8,PROVISIONAL_ANALOG_ROUTING_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,3V8 frequency-setting resistor
R4,53.00,21.00,0,TOP,BUCK_3V8,PROVISIONAL_CONTROL_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,3V8 populated PFM link
R5,55.50,21.00,0,TOP,BUCK_3V8,PROVISIONAL_CONTROL_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,3V8 optional FPWM link DNP
R6,48.00,18.50,0,TOP,BUCK_3V8,PROVISIONAL_CONTROL_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,EN_MODEM pull-down
R15,61.00,20.50,0,TOP,BUCK_3V8,PROVISIONAL_CONTROL_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,3V8 PG optional pull-up DNP
C12,50.00,42.00,0,TOP,BUCK_3V3,PROVISIONAL_HOT_LOOP_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,3V3 buck input capacitor
U4,55.00,42.00,0,TOP,BUCK_3V3,PROVISIONAL_HOT_LOOP_REVIEW_PENDING,PCB_PWR_PIN_AUTHORITY_REV_A.csv,Always-on 3V3 regulator anchor
C6,53.00,38.00,0,TOP,BUCK_3V3,PROVISIONAL_HOT_LOOP_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,3V3 bootstrap capacitor
L2,62.00,42.00,0,TOP,BUCK_3V3,PROVISIONAL_HOT_LOOP_REVIEW_PENDING,PCB_PWR_FOOTPRINT_AUTHORITY_REV_A.md,3V3 inductor adjacent to SW output
C5,69.00,38.00,0,TOP,BUCK_3V3,PROVISIONAL_LOAD_STEP_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,3V3 output bank
C17,73.00,38.00,0,TOP,BUCK_3V3,PROVISIONAL_LOAD_STEP_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,3V3 output bank
C18,69.00,45.00,0,TOP,BUCK_3V3,PROVISIONAL_LOAD_STEP_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,3V3 output bank
C19,73.00,45.00,0,TOP,BUCK_3V3,PROVISIONAL_LOAD_STEP_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,3V3 output bank
R7,50.00,47.00,0,TOP,BUCK_3V3,PROVISIONAL_ANALOG_ROUTING_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,3V3 frequency-setting resistor
R8,52.50,49.00,0,TOP,BUCK_3V3,PROVISIONAL_CONTROL_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,3V3 populated PFM link
R9,55.00,49.00,0,TOP,BUCK_3V3,PROVISIONAL_CONTROL_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,3V3 optional FPWM link DNP
R10,58.00,47.00,0,TOP,BUCK_3V3,PROVISIONAL_CONTROL_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,PWR_GOOD pull-up
R11,66.00,49.00,0,TOP,AUX_1V8,PROVISIONAL_CONTROL_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,EN_AUX pull-down
R12,68.50,49.00,0,TOP,CONTROL_INTERFACE,PROVISIONAL_CONTROL_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,FAULT pull-up
R13,71.00,51.00,0,TOP,CONTROL_INTERFACE,PROVISIONAL_I2C_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,Optional local SCL pull-up DNP
R14,73.50,51.00,0,TOP,CONTROL_INTERFACE,PROVISIONAL_I2C_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,Optional local SDA pull-up DNP
U5,76.00,46.00,0,TOP,AUX_1V8,PROVISIONAL_NOISE_REVIEW_PENDING,PCB_PWR_PIN_AUTHORITY_REV_A.csv,1V8 microphone LDO
C7,76.00,50.00,0,TOP,AUX_1V8,PROVISIONAL_NOISE_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,TPS7A20 input capacitor
C8,76.00,54.00,0,TOP,AUX_1V8,PROVISIONAL_NOISE_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,TPS7A20 output capacitor
NT1,79.00,38.00,0,TOP,GROUND_JOIN,PROVISIONAL_RETURN_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,GND_MODEM controlled join near J2
NT2,79.00,41.00,0,TOP,GROUND_JOIN,PROVISIONAL_RETURN_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,GND_DIGITAL controlled join near J2
NT3,79.00,44.00,0,TOP,GROUND_JOIN,PROVISIONAL_RETURN_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,GND_MIC controlled join near J2
J2,90.00,56.00,270,TOP,CONTROL_INTERFACE,PROVISIONAL_SERVICE_CLEARANCE_PENDING,PCB_PWR_FOOTPRINT_AUTHORITY_REV_A.md,Right-angle MAIN harness exits east; exact envelope remains DIM-003
TP1,25.00,56.00,0,TOP,DFT_EDGE,PROVISIONAL_DFT_ACCESS_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,VBAT_PROTECTED probe target
TP2,27.54,56.00,0,TOP,DFT_EDGE,PROVISIONAL_DFT_ACCESS_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,Shunt source Kelvin probe target
TP3,30.08,56.00,0,TOP,DFT_EDGE,PROVISIONAL_DFT_ACCESS_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,Shunt load Kelvin probe target
TP4,32.62,56.00,0,TOP,DFT_EDGE,PROVISIONAL_DFT_ACCESS_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,3V8 probe target
TP5,35.16,56.00,0,TOP,DFT_EDGE,PROVISIONAL_DFT_ACCESS_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,PG_3V8 probe target
TP6,37.70,56.00,0,TOP,DFT_EDGE,PROVISIONAL_DFT_ACCESS_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,PWR_GOOD probe target
TP7,40.24,56.00,0,TOP,DFT_EDGE,PROVISIONAL_DFT_ACCESS_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,1V8 probe target
TP8,42.78,56.00,0,TOP,DFT_EDGE,PROVISIONAL_DFT_ACCESS_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,FAULT probe target
TP9,45.32,56.00,0,TOP,DFT_EDGE,PROVISIONAL_DFT_ACCESS_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,I2C SCL probe target
TP10,47.86,56.00,0,TOP,DFT_EDGE,PROVISIONAL_DFT_ACCESS_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,I2C SDA probe target
