Net,Function,MCU_Pin,LQFP100_Pin,CubeMX_Signal,AF,Direction_at_MCU,MCU_Domain,External_Domain,External_Device,Status,Evidence,Notes
LORA_DIO1,LoRa interrupt,PC2,17,GPIO,GPIO,IN,3V3,3V3,E22-900M22S,DATASHEET_VERIFIED_CUBEMX_GENERATED_OPEN_PENDING,STM32U585VITxQ.xml CubeMX DB.6.0.120,"EXTI2; moved from PD8 to remove the PA8/PD8 EXTI8 source conflict while preserving MIC_WAKE on PA8"
LORA_BUSY,LoRa busy,PD9,56,GPIO,GPIO,IN,3V3,3V3,E22-900M22S,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml,
LORA_RESET_N,LoRa reset,PD10,57,GPIO,GPIO,OUT,3V3,3V3,E22-900M22S,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml,Default inactive
CELL_TX,Cellular main UART transmit,PB6,92,USART1_TX,AF7,OUT,3V3,1V8,BG95-M3,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml + DS13086 Rev10 + Quectel BG95 HW Design,Directional level translation mandatory
CELL_RX,Cellular main UART receive,PB7,93,USART1_RX,AF7,IN,3V3,1V8,BG95-M3,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml + DS13086 Rev10 + Quectel BG95 HW Design,Directional level translation mandatory
CELL_PWRKEY_CMD,Cellular PWRKEY control,PD11,58,GPIO,GPIO,OUT,3V3,1V8_CONTROL,BG95-M3,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml + Quectel BG95 HW Design,Use approved open-drain/transistor interface not direct 3V3 drive
CELL_RESET_N_CMD,Cellular reset control,PD12,59,GPIO,GPIO,OUT,3V3,1V8_CONTROL,BG95-M3,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml + Quectel BG95 HW Design,Use approved interface
CELL_STATUS,Cellular status input,PD13,60,GPIO,GPIO,IN,3V3,1V8,BG95-M3,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml + Quectel BG95 HW Design,Level translate if VIH margin not guaranteed
CELL_DTR,Cellular DTR control,PD14,61,GPIO,GPIO,OUT,3V3,1V8,BG95-M3,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml + Quectel BG95 HW Design,Level translation mandatory
CELL_RI,Cellular ring indicator,PD15,62,GPIO,GPIO,IN,3V3,1V8,BG95-M3,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml + Quectel BG95 HW Design,Level translation mandatory
SIM_MUX_SEL,Dual-SIM mux select,PE0,97,GPIO,GPIO,OUT,3V3,3V3_CTRL,SIM mux,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml,Safe default selects SIM1; switching only with modem USIM off
SIM_MUX_EN,Dual-SIM mux enable,PE2,1,GPIO,GPIO,OUT,3V3,3V3_CTRL,SIM mux,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml,Safe default disabled during reset
SIM1_DET,SIM1 card detect,PE3,2,GPIO,GPIO,IN,3V3,CONTACT,SIM1 socket,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml,
SIM2_DET,SIM2 card detect,PE5,4,GPIO,GPIO,IN,3V3,CONTACT,SIM2 socket,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml,
BLE_TX,BLE service UART transmit,PB10,44,USART3_TX,AF7,OUT,3V3,3V3,Raytac MDBT50Q-P1MV2 nRF52840,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml + DS13086 Rev10 + Raytac MDBT50Q-P1MV2 spec,MCU TX to selected nRF52840 UARTE RX GPIO; exact module pad frozen in schematic review
BLE_RX,BLE service UART receive,PB11,45,USART3_RX,AF7,IN,3V3,3V3,Raytac MDBT50Q-P1MV2 nRF52840,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml + DS13086 Rev10 + Raytac MDBT50Q-P1MV2 spec,Selected nRF52840 UARTE TX GPIO to MCU RX; exact module pad frozen in schematic review
BLE_EN,BLE module enable/reset request,PE6,5,GPIO,GPIO,OUT,3V3,3V3,Raytac MDBT50Q-P1MV2 nRF52840,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml + Raytac MDBT50Q-P1MV2 spec,Controls load switch or reset-request circuit; exact implementation frozen in schematic
BLE_DFU_REQ,BLE application DFU/recovery request,PB2,34,GPIO,GPIO,OUT_OD,3V3,3V3,Raytac MDBT50Q-P1MV2 nRF52840,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml + nRF52840 firmware contract,Open-drain request to selected nRF GPIO; nRF SWD remains separate fixture pads
I2C2_SCL,Power and sensor I2C clock,PB13,52,I2C2_SCL,AF4,BIDIR_OD,3V3,3V3,INA226/STTS22H/LIS2DW12,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml + DS13086 Rev10,Check addresses before schematic freeze
I2C2_SDA,Power and sensor I2C data,PB14,53,I2C2_SDA,AF4,BIDIR_OD,3V3,3V3,INA226/STTS22H/LIS2DW12,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml + DS13086 Rev10,Check addresses before schematic freeze
PWR_GOOD,Power interface good input,PD0,81,GPIO,GPIO,IN,3V3,3V3,PCB-PWR,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml,
PWR_FAULT,Power interface fault input,PD1,82,GPIO,GPIO,IN,3V3,3V3,PCB-PWR,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml,Fail-safe state defined on PCB-PWR
EN_MODEM,Modem power enable,PD4,85,GPIO,GPIO,OUT,3V3,3V3,PCB-PWR,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml,Default OFF at reset
EN_AUX,Auxiliary RF/microphone enable,PD5,86,GPIO,GPIO,OUT,3V3,3V3,PCB-PWR,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml,May split only by ICD revision
ACCEL_INT,Accelerometer interrupt,PC6,63,GPIO,GPIO,IN,3V3,3V3,LIS2DW12,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml,EXTI capable
TAMPER_IN,Enclosure tamper input,PC7,64,GPIO,GPIO,IN,3V3,CONTACT,Tamper switch,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml,Debounce/protection required
TEST_UART_RX,Production diagnostic UART receive,PC0,15,LPUART1_RX,AF8,IN,3V3,3V3,EOL fixture,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml + DS13086 Rev10,Fixture only
TEST_UART_TX,Production diagnostic UART transmit,PC1,16,LPUART1_TX,AF8,OUT,3V3,3V3,EOL fixture,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml + DS13086 Rev10,Fixture only
USB_VBUS,USB service VBUS sense,PA9,68,USB_OTG_FS_VBUS,AF10,IN,3V3,5V_SENSE,USB-C,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml + DS13086 Rev10,Implement ST recommended VBUS sensing/protection
USB_DM,USB service D-,PA11,70,USB_OTG_FS_DM,AF10,BIDIR,3V3,USB2,USB-C,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml + DS13086 Rev10,Differential pair and ESD
USB_DP,USB service D+,PA12,71,USB_OTG_FS_DP,AF10,BIDIR,3V3,USB2,USB-C,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml + DS13086 Rev10,Differential pair and ESD
SWDIO,SWD data,PA13,72,DEBUG_JTMS-SWDIO,SYS,BIDIR,3V3,3V3,ST-LINK,RESERVED_VERIFIED,STM32U585VITxQ.xml,Always fixture-accessible
SWCLK,SWD clock,PA14,76,DEBUG_JTCK-SWCLK,SYS,IN,3V3,3V3,ST-LINK,RESERVED_VERIFIED,STM32U585VITxQ.xml,Always fixture-accessible
BOOT0,MCU boot strap,PH3,94,GPIO,GPIO,IN,3V3,STRAP,EOL fixture,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml,Fixed normal-boot bias plus recovery test point
REV_STRAP0,Hardware revision strap 0,PB8,95,GPIO,GPIO,IN,3V3,STRAP,Resistor strap,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml,
REV_STRAP1,Hardware revision strap 1,PB9,96,GPIO,GPIO,IN,3V3,STRAP,Resistor strap,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml,
LSE_IN,32.768 kHz clock input,PC14,8,RCC_OSC32_IN,RCC,IN,3V3,CLOCK,SiT1552/LSE source,CLOCK_TOPOLOGY_PENDING,STM32U585VITxQ.xml,Exact oscillator connection to be frozen with clock-tree decision
LSE_OUT,32.768 kHz clock output/reserved,PC15,9,RCC_OSC32_OUT,RCC,OUT,3V3,CLOCK,SiT1552/LSE source,CLOCK_TOPOLOGY_PENDING,STM32U585VITxQ.xml,May be NC when external clock drives OSC32_IN per ST clock configuration
