Net_Name,Numeric_Class,Width_mm,Clearance_mm,Via_Diameter_mm,Via_Drill_mm,Min_Parallel_Vias_If_Transition,Max_One_Way_Length_mm,Layer_Policy,Via_Policy,Status
I2C2_SDA,CONTROL,0.25,0.2,0.6,0.3,1,,SIGNAL_LAYER_OVER_CONTROLLED_RETURN,MINIMIZE_TRANSITIONS_ADD_LOCAL_RETURN_VIA,EVT_ENGINEERING_CANDIDATE_ONLY_FINAL_FABRICATOR_FAULT_THERMAL_REVIEW_PENDING
LM74700_VCAP,PWR_LOCAL,0.5,0.25,0.6,0.3,1,,F_CU_LOCAL_PREFERRED,MINIMIZE_TRANSITIONS_BOOTSTRAP_ZERO_VIA_TARGET,EVT_ENGINEERING_CANDIDATE_ONLY_FINAL_FABRICATOR_FAULT_THERMAL_REVIEW_PENDING
MODE_3V3,PWR_LOCAL,0.5,0.25,0.6,0.3,1,,F_CU_LOCAL_PREFERRED,MINIMIZE_TRANSITIONS_BOOTSTRAP_ZERO_VIA_TARGET,EVT_ENGINEERING_CANDIDATE_ONLY_FINAL_FABRICATOR_FAULT_THERMAL_REVIEW_PENDING
MODE_3V8,PWR_LOCAL,0.5,0.25,0.6,0.3,1,,F_CU_LOCAL_PREFERRED,MINIMIZE_TRANSITIONS_BOOTSTRAP_ZERO_VIA_TARGET,EVT_ENGINEERING_CANDIDATE_ONLY_FINAL_FABRICATOR_FAULT_THERMAL_REVIEW_PENDING
PG_3V8,CONTROL,0.25,0.2,0.6,0.3,1,,SIGNAL_LAYER_OVER_CONTROLLED_RETURN,MINIMIZE_TRANSITIONS_ADD_LOCAL_RETURN_VIA,EVT_ENGINEERING_CANDIDATE_ONLY_FINAL_FABRICATOR_FAULT_THERMAL_REVIEW_PENDING
PWR_GOOD,CONTROL,0.25,0.2,0.6,0.3,1,,SIGNAL_LAYER_OVER_CONTROLLED_RETURN,MINIMIZE_TRANSITIONS_ADD_LOCAL_RETURN_VIA,EVT_ENGINEERING_CANDIDATE_ONLY_FINAL_FABRICATOR_FAULT_THERMAL_REVIEW_PENDING
REV_GATE,PWR_LOCAL,0.5,0.25,0.6,0.3,1,,F_CU_LOCAL_PREFERRED,MINIMIZE_TRANSITIONS_BOOTSTRAP_ZERO_VIA_TARGET,EVT_ENGINEERING_CANDIDATE_ONLY_FINAL_FABRICATOR_FAULT_THERMAL_REVIEW_PENDING
RT_3V3,PWR_LOCAL,0.5,0.25,0.6,0.3,1,,F_CU_LOCAL_PREFERRED,MINIMIZE_TRANSITIONS_BOOTSTRAP_ZERO_VIA_TARGET,EVT_ENGINEERING_CANDIDATE_ONLY_FINAL_FABRICATOR_FAULT_THERMAL_REVIEW_PENDING
RT_3V8,PWR_LOCAL,0.5,0.25,0.6,0.3,1,,F_CU_LOCAL_PREFERRED,MINIMIZE_TRANSITIONS_BOOTSTRAP_ZERO_VIA_TARGET,EVT_ENGINEERING_CANDIDATE_ONLY_FINAL_FABRICATOR_FAULT_THERMAL_REVIEW_PENDING
SHUNT_LOAD_SENSE,PWR_SENSE,0.25,0.3,0.6,0.3,0,,F_CU_PAIRED_QUIET_CORRIDOR,ZERO_VIA_TARGET_NO_SHARED_LOAD_COPPER,EVT_ENGINEERING_CANDIDATE_ONLY_FINAL_FABRICATOR_FAULT_THERMAL_REVIEW_PENDING
SHUNT_SOURCE_SENSE,PWR_SENSE,0.25,0.3,0.6,0.3,0,,F_CU_PAIRED_QUIET_CORRIDOR,ZERO_VIA_TARGET_NO_SHARED_LOAD_COPPER,EVT_ENGINEERING_CANDIDATE_ONLY_FINAL_FABRICATOR_FAULT_THERMAL_REVIEW_PENDING
SW_3V3,PWR_SWITCH_4A,2.1,0.4,0.6,0.3,0,,F_CU_LOCAL_ONLY_MINIMUM_AREA,ZERO_VIA_TARGET_EXCEPTION_REQUIRES_REVIEW_B,EVT_ENGINEERING_CANDIDATE_ONLY_FINAL_FABRICATOR_FAULT_THERMAL_REVIEW_PENDING
SW_3V8,PWR_SWITCH_4A,2.1,0.4,0.6,0.3,0,,F_CU_LOCAL_ONLY_MINIMUM_AREA,ZERO_VIA_TARGET_EXCEPTION_REQUIRES_REVIEW_B,EVT_ENGINEERING_CANDIDATE_ONLY_FINAL_FABRICATOR_FAULT_THERMAL_REVIEW_PENDING
VBAT_FUSED,PWR_INPUT_5A,4.0,0.3,0.6,0.3,12,67.870035,OUTER_COPPER_PREFERRED_SAME_LAYER_CONTINUOUS,AVOID_TRANSITION_OTHERWISE_MIN_12_PARALLEL_PROVISIONAL,EVT_ENGINEERING_CANDIDATE_ONLY_FINAL_FABRICATOR_FAULT_THERMAL_REVIEW_PENDING
VBAT_PROTECTED,PWR_INPUT_5A,4.0,0.3,0.6,0.3,12,67.870035,OUTER_COPPER_PREFERRED_SAME_LAYER_CONTINUOUS,AVOID_TRANSITION_OTHERWISE_MIN_12_PARALLEL_PROVISIONAL,EVT_ENGINEERING_CANDIDATE_ONLY_FINAL_FABRICATOR_FAULT_THERMAL_REVIEW_PENDING
VBAT_RAW,PWR_INPUT_5A,4.0,0.3,0.6,0.3,12,67.870035,OUTER_COPPER_PREFERRED_SAME_LAYER_CONTINUOUS,AVOID_TRANSITION_OTHERWISE_MIN_12_PARALLEL_PROVISIONAL,EVT_ENGINEERING_CANDIDATE_ONLY_FINAL_FABRICATOR_FAULT_THERMAL_REVIEW_PENDING
VBAT_SYS,PWR_INPUT_5A,4.0,0.3,0.6,0.3,12,67.870035,OUTER_COPPER_PREFERRED_SAME_LAYER_CONTINUOUS,AVOID_TRANSITION_OTHERWISE_MIN_12_PARALLEL_PROVISIONAL,EVT_ENGINEERING_CANDIDATE_ONLY_FINAL_FABRICATOR_FAULT_THERMAL_REVIEW_PENDING
