Record_ID,Feature_Type,RefDes,Contact,Side,Anchor_Definition,X_mm,Y_mm,Rotation_deg,Geometry,Extent_X_mm,Extent_Y_mm,Z_Min_mm,Z_Max_mm,Access_Direction,Layer_Scope,Clearance_Rule,Disposition,Authority,Notes
MECH-011,CONNECTOR_PLACEMENT,J_MIC4,ALL,TOP,MATING_FACE_CENTER_ON_EDGE,110.00,54.00,270,MANUFACTURER_LAND_PATTERN,0.00,0.00,1.60,12.00,OUTBOARD_EAST,TOP,STRAIGHT_PULL_20_BEND_AFTER_10,LOCKED_ORIENTATION,MAIN-AUTH-011,Molex 504050-0691 right-angle latch accessible from service volume
MECH-012,CONNECTOR_PLACEMENT,J6,ALL,TOP,CARD_OPENING_CENTER,18.00,2.50,180,MANUFACTURER_LAND_PATTERN,0.00,0.00,1.60,12.00,OUTBOARD_SOUTH,TOP,CARD_SERVICE_SWEEP_20,LOCKED_ORIENTATION,MAIN-AUTH-011,TE 2336582-1 SIM1 insertion and eject direction south
MECH-013,CONNECTOR_PLACEMENT,J7,ALL,TOP,CARD_OPENING_CENTER,64.00,2.50,180,MANUFACTURER_LAND_PATTERN,0.00,0.00,1.60,12.00,OUTBOARD_SOUTH,TOP,CARD_SERVICE_SWEEP_20,LOCKED_ORIENTATION,MAIN-AUTH-011,TE 2336582-1 SIM2 insertion and eject direction south
MECH-014,CONNECTOR_PLACEMENT,J8,1,TOP,CENTER_CONTACT_1,16.00,68.00,0,MANUFACTURER_LAND_PATTERN,0.00,0.00,1.60,12.00,UP_Z,TOP,TOOL_D8_Z15_COAX_NORTH,LOCKED_RF_ENDPOINT,MAIN-AUTH-011,Cellular U.FL with connector-side ESD and via fence
MECH-015,CONNECTOR_PLACEMENT,J9,1,TOP,CENTER_CONTACT_1,53.50,68.00,0,MANUFACTURER_LAND_PATTERN,0.00,0.00,1.60,12.00,UP_Z,TOP,TOOL_D8_Z15_COAX_NORTH,LOCKED_RF_ENDPOINT,MAIN-AUTH-011,GNSS U.FL carries supervised antenna bias and RF
MECH-016,CONNECTOR_PLACEMENT,J10,1,TOP,CENTER_CONTACT_1,74.00,68.00,0,MANUFACTURER_LAND_PATTERN,0.00,0.00,1.60,12.00,UP_Z,TOP,TOOL_D8_Z15_COAX_NORTH,LOCKED_RF_ENDPOINT,MAIN-AUTH-011,RU868 U.FL is also the conducted test port
MECH-017,CONNECTOR_PLACEMENT,J11,ALL,TOP,MATING_FACE_CENTER_ON_EDGE,42.00,0.00,180,MANUFACTURER_LAND_PATTERN,0.00,0.00,1.60,12.00,OUTBOARD_SOUTH,TOP_AND_THT,PLUG_SERVICE_SWEEP_20,LOCKED_ORIENTATION,MAIN-AUTH-011,GCT USB4105-GF-A-120 top-mount side-entry with 1.20 mm stake option
MECH-018,CONNECTOR_PLACEMENT,J12,ALL,TOP,CARD_OPENING_CENTER,87.00,2.50,180,MANUFACTURER_LAND_PATTERN,0.00,0.00,1.60,12.00,OUTBOARD_SOUTH,TOP,CARD_SERVICE_SWEEP_20,LOCKED_ORIENTATION,MAIN-AUTH-011,GCT MEM2052-00-195-00-A microSD insertion and eject direction south
MECH-019,CONNECTOR_PLACEMENT,J13,ALL,TOP,MATING_FACE_CENTER_ON_EDGE,110.00,13.00,270,MANUFACTURER_LAND_PATTERN,0.00,0.00,1.60,12.00,OUTBOARD_EAST,TOP,STRAIGHT_PULL_20_BEND_AFTER_10,LOCKED_ORIENTATION,MAIN-AUTH-011,Molex 504050-0291 tamper connector latch accessible from service volume
MECH-020,MODULE_PLACEMENT,U8,ALL,TOP,PACKAGE_BODY_CENTER,24.00,53.00,0,MANUFACTURER_LAND_PATTERN,23.60,19.90,1.60,12.00,N/A,TOP,CELL_ZONE_ONLY_SHORT_VBAT_AND_RF,LOCKED_ZONE_ANCHOR,MAIN-AUTH-011,BG95-M3 pin-one orientation follows Quectel top-view drawing
MECH-021,MODULE_PLACEMENT,U9,ALL,TOP,PACKAGE_BODY_CENTER,53.50,58.00,0,MANUFACTURER_LAND_PATTERN,9.70,10.10,1.60,12.00,N/A,TOP,GNSS_ZONE_ONLY_NO_SWITCHING,LOCKED_ZONE_ANCHOR,MAIN-AUTH-011,MAX-M10S-00B pin-one orientation follows u-blox top-view drawing
MECH-022,MODULE_PLACEMENT,U10,ALL,TOP,PACKAGE_BODY_CENTER,74.00,55.00,0,MANUFACTURER_LAND_PATTERN,20.00,14.00,1.60,12.00,N/A,TOP,LORA_ZONE_ONLY_CASTELLATED_ANT_FORM,LOCKED_ZONE_ANCHOR,MAIN-AUTH-011,E22-900M22S pin-one orientation and castellated ANT form are mandatory
MECH-023,MODULE_PLACEMENT,U11,ALL,TOP,PACKAGE_BODY_CENTER,102.25,35.25,270,MANUFACTURER_LAND_PATTERN,15.50,10.50,1.60,12.00,OUTBOARD_EAST,ALL_COPPER,ANTENNA_END_EAST_NO_COPPER_3.8x10.5,LOCKED_ANTENNA_EDGE,MAIN-AUTH-011,MDBT50Q-P1MV2 normalized footprint has local antenna end toward plus Y before rotation
MECH-024,RF_ZONE,ZONE_CELL,ALL,ALL,LOWER_LEFT,10.00,42.00,0,RECT,26.00,30.00,0.00,12.00,N/A,ALL_COPPER,CELL_ONLY_NO_GNSS_LORA_AUDIO,LOCKED_EXCLUSIVE_ZONE,MAIN-AUTH-011,Contains U8 cellular matching J8 and modem bulk networks
MECH-025,RF_ZONE,ZONE_GNSS,ALL,ALL,LOWER_LEFT,44.00,51.00,0,RECT,19.00,21.00,0.00,12.00,N/A,ALL_COPPER,GNSS_ONLY_NO_SWITCHING_OR_CELL_VBAT,LOCKED_EXCLUSIVE_ZONE,MAIN-AUTH-011,Contains U9 active-antenna supervisor SAW matching and J9
MECH-026,RF_ZONE,ZONE_LORA,ALL,ALL,LOWER_LEFT,64.00,46.00,0,RECT,21.50,26.00,0.00,12.00,N/A,ALL_COPPER,LORA_ONLY_NO_CELL_GNSS_AUDIO,LOCKED_EXCLUSIVE_ZONE,MAIN-AUTH-011,Contains U10 RU868 matching and J10 conducted port
MECH-027,RF_ZONE,ZONE_BLE_BODY,ALL,ALL,LOWER_LEFT,94.50,30.00,0,RECT,15.50,10.50,0.00,12.00,N/A,ALL_COPPER,BLE_MODULE_AND_LOCAL_DECOUPLING_ONLY,LOCKED_EXCLUSIVE_ZONE,MAIN-AUTH-011,Module body reaches the east PCB edge
MECH-028,KEEP_OUT,KO_BLE_ANT_BOARD,ALL,ALL,LOWER_LEFT,106.20,30.00,0,RECT,3.80,10.50,0.00,12.00,OUTBOARD_EAST,ALL_LAYERS,NO_COPPER_VIA_COMPONENT_TRACE_OR_PLANE,LOCKED_ALL_LAYER_KEEP_OUT,MAIN-AUTH-011,Minimum Raytac antenna-end board keepout reaches east edge
MECH-029,KEEP_OUT,KO_BLE_ANT_VOLUME,ALL,ALL,LOWER_LEFT,106.20,27.00,0,RECT,18.80,16.50,1.60,40.00,OUTBOARD_EAST,MECHANICAL,NO_METAL_STANDOFF_CABLE_LABEL_BATTERY_OR_SHIELD,LOCKED_ENCLOSURE_EXCLUSION,MAIN-AUTH-011,External antenna volume extends 15 mm beyond board edge
MECH-030,KEEP_OUT,KO_GNSS_UPPER_VIEW,ALL,ALL,LOWER_LEFT,44.00,51.00,0,RECT,19.00,24.00,1.60,150.00,UP_Z,MECHANICAL,NO_SOLAR_METAL_OR_CABLE_BUNDLE_ABOVE,LOCKED_ENCLOSURE_EXCLUSION,MAIN-AUTH-011,Preserves upper-view route for the external active GNSS antenna and coax
MECH-031,QUIET_ZONE,ZONE_AUDIO_DIGITAL,ALL,ALL,LOWER_LEFT,37.00,39.00,0,RECT,29.00,11.00,0.00,12.00,N/A,ALL_COPPER,NO_CELL_VBAT_RF_SIM_GNSS_BIAS_OR_LORA_RF,LOCKED_QUIET_ROUTE_ZONE,MAIN-AUTH-011,Reserved for U1 audio translators clock and PDM fanout
MECH-032,KEEP_OUT,KO_MIC1_HARNESS,ALL,ALL,LOWER_LEFT,0.00,25.00,0,RECT,12.00,10.00,1.60,20.00,OUTBOARD_WEST,MECHANICAL,NO_RF_COAX_OR_POWER_HARNESS_CROSSING,LOCKED_CABLE_CORRIDOR,MAIN-AUTH-011,MIC1 latch pull and strain-relief corridor
MECH-033,KEEP_OUT,KO_MIC2_HARNESS,ALL,ALL,LOWER_LEFT,36.50,65.00,0,RECT,7.00,10.00,1.60,20.00,OUTBOARD_NORTH,MECHANICAL,NO_RF_COAX_OR_POWER_HARNESS_CROSSING,LOCKED_CABLE_CORRIDOR,MAIN-AUTH-011,MIC2 latch pull and strain-relief corridor between RF zones
MECH-034,KEEP_OUT,KO_MIC3_HARNESS,ALL,ALL,LOWER_LEFT,88.50,65.00,0,RECT,7.00,10.00,1.60,20.00,OUTBOARD_NORTH,MECHANICAL,NO_RF_COAX_OR_POWER_HARNESS_CROSSING,LOCKED_CABLE_CORRIDOR,MAIN-AUTH-011,MIC3 latch pull and strain-relief corridor clear of RU868 zone
MECH-035,KEEP_OUT,KO_MIC4_HARNESS,ALL,ALL,LOWER_LEFT,98.00,49.00,0,RECT,12.00,10.00,1.60,20.00,OUTBOARD_EAST,MECHANICAL,NO_RF_COAX_OR_POWER_HARNESS_CROSSING,LOCKED_CABLE_CORRIDOR,MAIN-AUTH-011,MIC4 latch pull and strain-relief corridor
MECH-036,DFT_ZONE,ZONE_DFT_BOTTOM,ALL,BOTTOM,LOWER_LEFT,27.00,15.00,0,RECT,67.00,25.00,0.00,1.60,DOWN_Z,BOTTOM,NO_BOTTOM_COMPONENTS_OR_MASK_EXCEPT_PADS_AND_FIDUCIALS,LOCKED_FIXTURE_WINDOW,MAIN-AUTH-011,Production fixture window must be supported by a rigid nest
MECH-037,FIDUCIAL,FID_DFT1,ALL,BOTTOM,COPPER_CENTER,29.00,16.50,0,CIRCLE_D1.0,1.00,1.00,0.00,0.00,DOWN_Z,BOTTOM,NO_MASK_D3.0,LOCKED_FIXTURE_DATUM,MAIN-AUTH-011,First bottom-side fixture fiducial
MECH-038,FIDUCIAL,FID_DFT2,ALL,BOTTOM,COPPER_CENTER,92.00,16.50,0,CIRCLE_D1.0,1.00,1.00,0.00,0.00,DOWN_Z,BOTTOM,NO_MASK_D3.0,LOCKED_FIXTURE_DATUM,MAIN-AUTH-011,Second bottom-side fixture fiducial
MECH-039,FIDUCIAL,FID_DFT3,ALL,BOTTOM,COPPER_CENTER,92.00,39.00,0,CIRCLE_D1.0,1.00,1.00,0.00,0.00,DOWN_Z,BOTTOM,NO_MASK_D3.0,LOCKED_FIXTURE_DATUM,MAIN-AUTH-011,Third bottom-side fixture fiducial
MECH-040,TEST_PAD,TP_EOL,1,BOTTOM,PAD_CENTER,33.00,23.00,0,CIRCLE_D1.7,1.70,1.70,0.00,0.00,DOWN_Z,BOTTOM,NO_PASTE_MASK_OPEN_D2.1,LOCKED_POGO_PAD,MAIN-AUTH-011,GND
MECH-041,TEST_PAD,TP_EOL,2,BOTTOM,PAD_CENTER,35.54,23.00,0,CIRCLE_D1.7,1.70,1.70,0.00,0.00,DOWN_Z,BOTTOM,NO_PASTE_MASK_OPEN_D2.1,LOCKED_POGO_PAD,MAIN-AUTH-011,3V3_DIGITAL sense only
MECH-042,TEST_PAD,TP_EOL,3,BOTTOM,PAD_CENTER,38.08,23.00,0,CIRCLE_D1.7,1.70,1.70,0.00,0.00,DOWN_Z,BOTTOM,NO_PASTE_MASK_OPEN_D2.1,LOCKED_POGO_PAD,MAIN-AUTH-011,3V8_MODEM sense only
MECH-043,TEST_PAD,TP_EOL,4,BOTTOM,PAD_CENTER,40.62,23.00,0,CIRCLE_D1.7,1.70,1.70,0.00,0.00,DOWN_Z,BOTTOM,NO_PASTE_MASK_OPEN_D2.1,LOCKED_POGO_PAD,MAIN-AUTH-011,1V8_MIC sense only
MECH-044,TEST_PAD,TP_EOL,5,BOTTOM,PAD_CENTER,43.16,23.00,0,CIRCLE_D1.7,1.70,1.70,0.00,0.00,DOWN_Z,BOTTOM,NO_PASTE_MASK_OPEN_D2.1,LOCKED_POGO_PAD,MAIN-AUTH-011,TEST_UART_TX
MECH-045,TEST_PAD,TP_EOL,6,BOTTOM,PAD_CENTER,45.70,23.00,0,CIRCLE_D1.7,1.70,1.70,0.00,0.00,DOWN_Z,BOTTOM,NO_PASTE_MASK_OPEN_D2.1,LOCKED_POGO_PAD,MAIN-AUTH-011,TEST_UART_RX
MECH-046,TEST_PAD,TP_EOL,7,BOTTOM,PAD_CENTER,48.24,23.00,0,CIRCLE_D1.7,1.70,1.70,0.00,0.00,DOWN_Z,BOTTOM,NO_PASTE_MASK_OPEN_D2.1,LOCKED_POGO_PAD,MAIN-AUTH-011,PWR_GOOD
MECH-047,TEST_PAD,TP_EOL,8,BOTTOM,PAD_CENTER,50.78,23.00,0,CIRCLE_D1.7,1.70,1.70,0.00,0.00,DOWN_Z,BOTTOM,NO_PASTE_MASK_OPEN_D2.1,LOCKED_POGO_PAD,MAIN-AUTH-011,FAULT
MECH-048,TEST_PAD,TP_EOL,9,BOTTOM,PAD_CENTER,53.32,23.00,0,CIRCLE_D1.7,1.70,1.70,0.00,0.00,DOWN_Z,BOTTOM,NO_PASTE_MASK_OPEN_D2.1,LOCKED_POGO_PAD,MAIN-AUTH-011,BOOT0 controlled only while reset asserted
MECH-049,TEST_PAD,TP_EOL,10,BOTTOM,PAD_CENTER,55.86,23.00,0,CIRCLE_D1.7,1.70,1.70,0.00,0.00,DOWN_Z,BOTTOM,NO_PASTE_MASK_OPEN_D2.1,LOCKED_POGO_PAD,MAIN-AUTH-011,REV_STRAP0
MECH-050,TEST_PAD,TP_EOL,11,BOTTOM,PAD_CENTER,58.40,23.00,0,CIRCLE_D1.7,1.70,1.70,0.00,0.00,DOWN_Z,BOTTOM,NO_PASTE_MASK_OPEN_D2.1,LOCKED_POGO_PAD,MAIN-AUTH-011,REV_STRAP1
MECH-051,TEST_PAD,TP_EOL,12,BOTTOM,PAD_CENTER,60.94,23.00,0,CIRCLE_D1.7,1.70,1.70,0.00,0.00,DOWN_Z,BOTTOM,NO_PASTE_MASK_OPEN_D2.1,LOCKED_POGO_PAD,MAIN-AUTH-011,I2C2_SCL open drain fixture only
MECH-052,TEST_PAD,TP_EOL,13,BOTTOM,PAD_CENTER,63.48,23.00,0,CIRCLE_D1.7,1.70,1.70,0.00,0.00,DOWN_Z,BOTTOM,NO_PASTE_MASK_OPEN_D2.1,LOCKED_POGO_PAD,MAIN-AUTH-011,I2C2_SDA open drain fixture only
MECH-053,TEST_PAD,TP_MCU_SWD,1,BOTTOM,PAD_CENTER,69.00,23.00,0,CIRCLE_D1.7,1.70,1.70,0.00,0.00,DOWN_Z,BOTTOM,NO_PASTE_MASK_OPEN_D2.1,LOCKED_POGO_PAD,MAIN-AUTH-011,3V3_DIGITAL VTREF sense only
MECH-054,TEST_PAD,TP_MCU_SWD,2,BOTTOM,PAD_CENTER,71.54,23.00,0,CIRCLE_D1.7,1.70,1.70,0.00,0.00,DOWN_Z,BOTTOM,NO_PASTE_MASK_OPEN_D2.1,LOCKED_POGO_PAD,MAIN-AUTH-011,SWDIO
MECH-055,TEST_PAD,TP_MCU_SWD,3,BOTTOM,PAD_CENTER,74.08,23.00,0,CIRCLE_D1.7,1.70,1.70,0.00,0.00,DOWN_Z,BOTTOM,NO_PASTE_MASK_OPEN_D2.1,LOCKED_POGO_PAD,MAIN-AUTH-011,SWCLK
MECH-056,TEST_PAD,TP_MCU_SWD,4,BOTTOM,PAD_CENTER,76.62,23.00,0,CIRCLE_D1.7,1.70,1.70,0.00,0.00,DOWN_Z,BOTTOM,NO_PASTE_MASK_OPEN_D2.1,LOCKED_POGO_PAD,MAIN-AUTH-011,NRST
MECH-057,TEST_PAD,TP_MCU_SWD,5,BOTTOM,PAD_CENTER,79.16,23.00,0,CIRCLE_D1.7,1.70,1.70,0.00,0.00,DOWN_Z,BOTTOM,NO_PASTE_MASK_OPEN_D2.1,LOCKED_POGO_PAD,MAIN-AUTH-011,GND
MECH-058,TEST_PAD,TP_BLE_SWD,1,BOTTOM,PAD_CENTER,84.00,23.00,0,CIRCLE_D1.7,1.70,1.70,0.00,0.00,DOWN_Z,BOTTOM,NO_PASTE_MASK_OPEN_D2.1,LOCKED_POGO_PAD,MAIN-AUTH-011,3V3_DIGITAL VTREF sense only
MECH-059,TEST_PAD,TP_BLE_SWD,2,BOTTOM,PAD_CENTER,86.54,23.00,0,CIRCLE_D1.7,1.70,1.70,0.00,0.00,DOWN_Z,BOTTOM,NO_PASTE_MASK_OPEN_D2.1,LOCKED_POGO_PAD,MAIN-AUTH-011,NRF_SWDIO
MECH-060,TEST_PAD,TP_BLE_SWD,3,BOTTOM,PAD_CENTER,89.08,23.00,0,CIRCLE_D1.7,1.70,1.70,0.00,0.00,DOWN_Z,BOTTOM,NO_PASTE_MASK_OPEN_D2.1,LOCKED_POGO_PAD,MAIN-AUTH-011,NRF_SWCLK
MECH-061,TEST_PAD,TP_BLE_SWD,4,BOTTOM,PAD_CENTER,91.62,23.00,0,CIRCLE_D1.7,1.70,1.70,0.00,0.00,DOWN_Z,BOTTOM,NO_PASTE_MASK_OPEN_D2.1,LOCKED_POGO_PAD,MAIN-AUTH-011,GND
MECH-062,TEST_PAD,TP_CELL_USB,1,BOTTOM,PAD_CENTER,33.00,30.00,0,CIRCLE_D1.7,1.70,1.70,0.00,0.00,DOWN_Z,BOTTOM,NO_PASTE_MASK_OPEN_D2.1,LOCKED_POGO_PAD,MAIN-AUTH-011,CELL_USB_VBUS controlled current-limited source
MECH-063,TEST_PAD,TP_CELL_USB,2,BOTTOM,PAD_CENTER,35.54,30.00,0,CIRCLE_D1.7,1.70,1.70,0.00,0.00,DOWN_Z,BOTTOM,NO_PASTE_MASK_OPEN_D2.1,LOCKED_POGO_PAD,MAIN-AUTH-011,CELL_USB_DP
MECH-064,TEST_PAD,TP_CELL_USB,3,BOTTOM,PAD_CENTER,38.08,30.00,0,CIRCLE_D1.7,1.70,1.70,0.00,0.00,DOWN_Z,BOTTOM,NO_PASTE_MASK_OPEN_D2.1,LOCKED_POGO_PAD,MAIN-AUTH-011,CELL_USB_DM
MECH-065,TEST_PAD,TP_CELL_USB,4,BOTTOM,PAD_CENTER,40.62,30.00,0,CIRCLE_D1.7,1.70,1.70,0.00,0.00,DOWN_Z,BOTTOM,NO_PASTE_MASK_OPEN_D2.1,LOCKED_POGO_PAD,MAIN-AUTH-011,GND_MODEM
MECH-066,TEST_PAD,TP_CELL_DBG,1,BOTTOM,PAD_CENTER,47.00,30.00,0,CIRCLE_D1.7,1.70,1.70,0.00,0.00,DOWN_Z,BOTTOM,NO_PASTE_MASK_OPEN_D2.1,LOCKED_POGO_PAD,MAIN-AUTH-011,U8_VDD_EXT_1V8 VTREF sense only
MECH-067,TEST_PAD,TP_CELL_DBG,2,BOTTOM,PAD_CENTER,49.54,30.00,0,CIRCLE_D1.7,1.70,1.70,0.00,0.00,DOWN_Z,BOTTOM,NO_PASTE_MASK_OPEN_D2.1,LOCKED_POGO_PAD,MAIN-AUTH-011,CELL_DBG_TXD_1V8
MECH-068,TEST_PAD,TP_CELL_DBG,3,BOTTOM,PAD_CENTER,52.08,30.00,0,CIRCLE_D1.7,1.70,1.70,0.00,0.00,DOWN_Z,BOTTOM,NO_PASTE_MASK_OPEN_D2.1,LOCKED_POGO_PAD,MAIN-AUTH-011,CELL_DBG_RXD_1V8
MECH-069,TEST_PAD,TP_CELL_DBG,4,BOTTOM,PAD_CENTER,54.62,30.00,0,CIRCLE_D1.7,1.70,1.70,0.00,0.00,DOWN_Z,BOTTOM,NO_PASTE_MASK_OPEN_D2.1,LOCKED_POGO_PAD,MAIN-AUTH-011,CELL_USB_BOOT_1V8 controlled recovery only
MECH-070,TEST_PAD,TP_CELL_DBG,5,BOTTOM,PAD_CENTER,57.16,30.00,0,CIRCLE_D1.7,1.70,1.70,0.00,0.00,DOWN_Z,BOTTOM,NO_PASTE_MASK_OPEN_D2.1,LOCKED_POGO_PAD,MAIN-AUTH-011,GND_MODEM
