Net,From,To,Class,Population,Status,Notes
3V3_DIGITAL,L2.2,"J_PWR.3;U4.6_FB;U5.1_IN;U5.3_EN;U2.6_VS;COUT_3V3_BANK;RPG_3V3_PU;RFAULT_PU;C_INA226",POWER,POPULATED,LOCKED,"LMR604403 fixed 3.3 V selected by direct VOUT-to-FB connection"
RT_3V3,U4.8_RT,"RRT_3V3.1;RMODE_3V3_FPWM.2_DNP",ANALOG,POPULATED,LOCKED,"RRT=86.6 k to GND; RMODE FPWM option DNP"
MODE_3V3,U4.7_MODE_SYNC,"RMODE_3V3_PFM.1;RMODE_3V3_FPWM.1_DNP",CONTROL,POPULATED,LOCKED,"Default PFM: 0R to GND populated; optional 0R MODE-to-RT DNP"
PWR_GOOD,U4.5_PG,"J_PWR.7;RPG_3V3_PU.2;TP_PWR_GOOD",OPEN_DRAIN_WITH_PULLUP,POPULATED,LOCKED,"Critical 3V3 rail PG only; 10 k pull-up to 3V3_DIGITAL"
EN_AUX,J_PWR.10,"U4.9_EN;REN_AUX_PD",CONTROL,POPULATED,LOCKED,"100 k pull-down default OFF; firmware must keep asserted while T5838 AAD is armed"
1V8_MIC,U5.5_OUT,"J_PWR.5;COUT_1V8;TP_1V8",POWER,POPULATED,LOCKED,"TPS7A2018 follows 3V3 rail; CIN/COUT 2.2 uF nominal, >=1 uF effective"
FAULT,U2.3_ALERT,"J_PWR.8;RFAULT_PU.2;TP_FAULT;FAULT_OR_RESERVE",OPEN_DRAIN_WITH_PULLUP,POPULATED,LOCKED,"INA226 ALERT may assert FAULT; 10 k pull-up to 3V3; reserved wired-OR source pads allowed, but FAULT never replaces I2C"
I2C2_SCL,U2.5_SCL,"J_PWR.11;RPU_SCL_DNP;TP_SCL",I2C_OD,DNP_PULLUP,LOCKED,"100 kHz initial; authoritative pull-up is on PCB-MAIN; local 4.7 k footprint DNP"
I2C2_SDA,U2.4_SDA,"J_PWR.12;RPU_SDA_DNP;TP_SDA",I2C_OD,DNP_PULLUP,LOCKED,"100 kHz initial; authoritative pull-up is on PCB-MAIN; local 4.7 k footprint DNP"
GND_MODEM,J_PWR.2,GND_PWR,HIGH_CURRENT,NET_TIE_OR_PLANE,LOCKED,"Dedicated harness return; join to PCB-PWR common ground at controlled low-impedance source region"
GND_DIGITAL,J_PWR.4,GND_PWR,MEDIUM_CURRENT,NET_TIE_OR_PLANE,LOCKED,"I2C/control return reference"
GND_MIC,J_PWR.6,GND_PWR,LOW_NOISE_RETURN,NET_TIE_OR_PLANE,LOCKED,"Keep 1V8 microphone return away from switch-node current loops before common-ground join"
