Net_Name,Route_Class,Reference_Domain,Topology,Impedance_Target,Geometry_Rule,Pair_Group,Pair_Mate,Length_Group,Length_Rule,Layer_Rule,Via_Rule,Priority,Source_Authority,Status
BLE_RX_U1,UART_SIGNAL,GND_DIGITAL,POINT_TO_POINT_SERIES_SEGMENT,NOT_CONTROLLED_IMPEDANCE,FABRICATOR_MINIMUMS_AND_REVIEW_B,,,,NOT_APPLICABLE,SIGNAL_LAYER_WITH_CONTINUOUS_LOCAL_REFERENCE,MINIMIZE_TRANSITIONS,P1,hardware/kicad/PCB_RULES.md;hardware/PCB_MAIN_BLE_AUTHORITY_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
BLE_RX_U11,UART_SIGNAL,GND_DIGITAL,POINT_TO_POINT_SERIES_SEGMENT,NOT_CONTROLLED_IMPEDANCE,FABRICATOR_MINIMUMS_AND_REVIEW_B,,,,NOT_APPLICABLE,SIGNAL_LAYER_WITH_CONTINUOUS_LOCAL_REFERENCE,MINIMIZE_TRANSITIONS,P1,hardware/kicad/PCB_RULES.md;hardware/PCB_MAIN_BLE_AUTHORITY_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
BLE_TX_U1,UART_SIGNAL,GND_DIGITAL,POINT_TO_POINT_SERIES_SEGMENT,NOT_CONTROLLED_IMPEDANCE,FABRICATOR_MINIMUMS_AND_REVIEW_B,,,,NOT_APPLICABLE,SIGNAL_LAYER_WITH_CONTINUOUS_LOCAL_REFERENCE,MINIMIZE_TRANSITIONS,P1,hardware/kicad/PCB_RULES.md;hardware/PCB_MAIN_BLE_AUTHORITY_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
BLE_TX_U11,UART_SIGNAL,GND_DIGITAL,POINT_TO_POINT_SERIES_SEGMENT,NOT_CONTROLLED_IMPEDANCE,FABRICATOR_MINIMUMS_AND_REVIEW_B,,,,NOT_APPLICABLE,SIGNAL_LAYER_WITH_CONTINUOUS_LOCAL_REFERENCE,MINIMIZE_TRANSITIONS,P1,hardware/kicad/PCB_RULES.md;hardware/PCB_MAIN_BLE_AUTHORITY_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
BOOT0,FIXTURE_DEBUG,GND_DIGITAL,POINT_TO_POINT_FIXTURE_ONLY,NOT_CONTROLLED_IMPEDANCE,FABRICATOR_MINIMUMS_AND_REVIEW_B,,,,NOT_APPLICABLE,SIGNAL_LAYER_WITH_CONTINUOUS_LOCAL_REFERENCE,MINIMIZE_TRANSITIONS,P2,hardware/kicad/PCB_RULES.md;hardware/PCB_MAIN_CONNECTOR_FIXTURE_AUTHORITY_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
CELL_DBG_RXD_TP,UART_SIGNAL,GND_MODEM,POINT_TO_POINT_SERIES_SEGMENT,NOT_CONTROLLED_IMPEDANCE,FABRICATOR_MINIMUMS_AND_REVIEW_B,,,,NOT_APPLICABLE,SIGNAL_LAYER_WITH_CONTINUOUS_LOCAL_REFERENCE,MINIMIZE_TRANSITIONS,P1,hardware/kicad/PCB_RULES.md;hardware/PCB_MAIN_CELLULAR_AUTHORITY_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
CELL_DBG_RXD_U8,UART_SIGNAL,GND_MODEM,POINT_TO_POINT_SERIES_SEGMENT,NOT_CONTROLLED_IMPEDANCE,FABRICATOR_MINIMUMS_AND_REVIEW_B,,,,NOT_APPLICABLE,SIGNAL_LAYER_WITH_CONTINUOUS_LOCAL_REFERENCE,MINIMIZE_TRANSITIONS,P1,hardware/kicad/PCB_RULES.md;hardware/PCB_MAIN_CELLULAR_AUTHORITY_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
CELL_DBG_TXD_TP,UART_SIGNAL,GND_MODEM,POINT_TO_POINT_SERIES_SEGMENT,NOT_CONTROLLED_IMPEDANCE,FABRICATOR_MINIMUMS_AND_REVIEW_B,,,,NOT_APPLICABLE,SIGNAL_LAYER_WITH_CONTINUOUS_LOCAL_REFERENCE,MINIMIZE_TRANSITIONS,P1,hardware/kicad/PCB_RULES.md;hardware/PCB_MAIN_CELLULAR_AUTHORITY_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
CELL_DBG_TXD_U8,UART_SIGNAL,GND_MODEM,POINT_TO_POINT_SERIES_SEGMENT,NOT_CONTROLLED_IMPEDANCE,FABRICATOR_MINIMUMS_AND_REVIEW_B,,,,NOT_APPLICABLE,SIGNAL_LAYER_WITH_CONTINUOUS_LOCAL_REFERENCE,MINIMIZE_TRANSITIONS,P1,hardware/kicad/PCB_RULES.md;hardware/PCB_MAIN_CELLULAR_AUTHORITY_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
CELL_DBG_VREF_TP,ANALOG_SENSE_BIAS,GND_MODEM,POINT_TO_POINT_OR_SUPERVISOR_NETWORK,NOT_CONTROLLED_IMPEDANCE,FABRICATOR_MINIMUMS_AND_REVIEW_B,,,,NOT_APPLICABLE,SIGNAL_LAYER_WITH_CONTINUOUS_LOCAL_REFERENCE,MINIMIZE_TRANSITIONS,P1,hardware/kicad/PCB_RULES.md;hardware/PCB_MAIN_CELLULAR_AUTHORITY_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
CELL_DTR_U16,MODEM_SIM_CONTROL,CROSS_GND_DIGITAL_GND_MODEM_REVIEW_B,POINT_TO_POINT_FAIL_CLOSED_CONTROL,NOT_CONTROLLED_IMPEDANCE,FABRICATOR_MINIMUMS_AND_REVIEW_B,,,,NOT_APPLICABLE,SIGNAL_LAYER_WITH_CONTINUOUS_LOCAL_REFERENCE,MINIMIZE_TRANSITIONS,P1,hardware/kicad/PCB_RULES.md;hardware/PCB_MAIN_CELLULAR_AUTHORITY_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
CELL_PWRKEY_CMD,MODEM_SIM_CONTROL,CROSS_GND_DIGITAL_GND_MODEM_REVIEW_B,POINT_TO_POINT_FAIL_CLOSED_CONTROL,NOT_CONTROLLED_IMPEDANCE,FABRICATOR_MINIMUMS_AND_REVIEW_B,,,,NOT_APPLICABLE,SIGNAL_LAYER_WITH_CONTINUOUS_LOCAL_REFERENCE,MINIMIZE_TRANSITIONS,P1,hardware/kicad/PCB_RULES.md;hardware/PCB_MAIN_CELLULAR_AUTHORITY_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
CELL_RESET_N_CMD,MODEM_SIM_CONTROL,CROSS_GND_DIGITAL_GND_MODEM_REVIEW_B,POINT_TO_POINT_FAIL_CLOSED_CONTROL,NOT_CONTROLLED_IMPEDANCE,FABRICATOR_MINIMUMS_AND_REVIEW_B,,,,NOT_APPLICABLE,SIGNAL_LAYER_WITH_CONTINUOUS_LOCAL_REFERENCE,MINIMIZE_TRANSITIONS,P1,hardware/kicad/PCB_RULES.md;hardware/PCB_MAIN_CELLULAR_AUTHORITY_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
CELL_RF,RF_50OHM,GND_MODEM,SERIES_CHAIN_NO_STUB,50_OHM_SINGLE_ENDED_FACTORY_STACKUP_PENDING,NO_NUMERIC_WIDTH_UNTIL_FACTORY_STACKUP,,,,MINIMIZE_SERIES_PATH_NO_TEE,SAME_OUTER_LAYER_CHAIN_OVER_UNINTERRUPTED_REFERENCE,ZERO_SIGNAL_VIA_TARGET_JUSTIFY_ANY_AND_ADD_RETURN_VIAS,P0,hardware/kicad/PCB_RULES.md;hardware/PCB_MAIN_CELLULAR_AUTHORITY_REV_A.md;hardware/PCB_MAIN_PASSIVE_SUPPORT_AUTHORITY_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
CELL_RF_ANT,RF_50OHM,GND_MODEM,SERIES_CHAIN_NO_STUB,50_OHM_SINGLE_ENDED_FACTORY_STACKUP_PENDING,NO_NUMERIC_WIDTH_UNTIL_FACTORY_STACKUP,,,,MINIMIZE_SERIES_PATH_NO_TEE,SAME_OUTER_LAYER_CHAIN_OVER_UNINTERRUPTED_REFERENCE,ZERO_SIGNAL_VIA_TARGET_JUSTIFY_ANY_AND_ADD_RETURN_VIAS,P0,hardware/kicad/PCB_RULES.md;hardware/PCB_MAIN_CELLULAR_AUTHORITY_REV_A.md;hardware/PCB_MAIN_PASSIVE_SUPPORT_AUTHORITY_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
CELL_RI_U16,MODEM_SIM_CONTROL,CROSS_GND_DIGITAL_GND_MODEM_REVIEW_B,POINT_TO_POINT_FAIL_CLOSED_CONTROL,NOT_CONTROLLED_IMPEDANCE,FABRICATOR_MINIMUMS_AND_REVIEW_B,,,,NOT_APPLICABLE,SIGNAL_LAYER_WITH_CONTINUOUS_LOCAL_REFERENCE,MINIMIZE_TRANSITIONS,P1,hardware/kicad/PCB_RULES.md;hardware/PCB_MAIN_CELLULAR_AUTHORITY_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
CELL_RX_U16,UART_SIGNAL,CROSS_GND_DIGITAL_GND_MODEM_REVIEW_B,POINT_TO_POINT_SERIES_SEGMENT,NOT_CONTROLLED_IMPEDANCE,FABRICATOR_MINIMUMS_AND_REVIEW_B,,,,NOT_APPLICABLE,SIGNAL_LAYER_WITH_CONTINUOUS_LOCAL_REFERENCE,MINIMIZE_TRANSITIONS,P1,hardware/kicad/PCB_RULES.md;hardware/PCB_MAIN_CELLULAR_AUTHORITY_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
CELL_STATUS_U16,MODEM_SIM_CONTROL,CROSS_GND_DIGITAL_GND_MODEM_REVIEW_B,POINT_TO_POINT_FAIL_CLOSED_CONTROL,NOT_CONTROLLED_IMPEDANCE,FABRICATOR_MINIMUMS_AND_REVIEW_B,,,,NOT_APPLICABLE,SIGNAL_LAYER_WITH_CONTINUOUS_LOCAL_REFERENCE,MINIMIZE_TRANSITIONS,P1,hardware/kicad/PCB_RULES.md;hardware/PCB_MAIN_CELLULAR_AUTHORITY_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
CELL_TX_U16,UART_SIGNAL,CROSS_GND_DIGITAL_GND_MODEM_REVIEW_B,POINT_TO_POINT_SERIES_SEGMENT,NOT_CONTROLLED_IMPEDANCE,FABRICATOR_MINIMUMS_AND_REVIEW_B,,,,NOT_APPLICABLE,SIGNAL_LAYER_WITH_CONTINUOUS_LOCAL_REFERENCE,MINIMIZE_TRANSITIONS,P1,hardware/kicad/PCB_RULES.md;hardware/PCB_MAIN_CELLULAR_AUTHORITY_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
CELL_USB_BOOT_1V8,MODEM_SIM_CONTROL,GND_MODEM,POINT_TO_POINT_FAIL_CLOSED_CONTROL,NOT_CONTROLLED_IMPEDANCE,FABRICATOR_MINIMUMS_AND_REVIEW_B,,,,NOT_APPLICABLE,SIGNAL_LAYER_WITH_CONTINUOUS_LOCAL_REFERENCE,MINIMIZE_TRANSITIONS,P1,hardware/kicad/PCB_RULES.md;hardware/PCB_MAIN_CELLULAR_AUTHORITY_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
CELL_USB_BOOT_TP,FIXTURE_DEBUG,GND_MODEM,POINT_TO_POINT_FIXTURE_ONLY,NOT_CONTROLLED_IMPEDANCE,FABRICATOR_MINIMUMS_AND_REVIEW_B,,,,NOT_APPLICABLE,SIGNAL_LAYER_WITH_CONTINUOUS_LOCAL_REFERENCE,MINIMIZE_TRANSITIONS,P2,hardware/kicad/PCB_RULES.md;hardware/PCB_MAIN_CELLULAR_AUTHORITY_REV_A.md;hardware/PCB_MAIN_CONNECTOR_FIXTURE_AUTHORITY_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
CELL_USB_DM_TP,USB_90OHM_DIFF,GND_MODEM,DIFFERENTIAL_SERIES_SEGMENT,90_OHM_DIFFERENTIAL_FACTORY_STACKUP_PENDING,NO_NUMERIC_WIDTH_OR_GAP_UNTIL_FACTORY_STACKUP,USB_CELL_FIXTURE_SEGMENT,CELL_USB_DP_TP,USB_CELL_FIXTURE_SEGMENT,PAIR_SKEW_LIMIT_REQUIRES_FINAL_STACKUP_AND_SI_REVIEW,PAIR_ON_ONE_LAYER_OVER_UNINTERRUPTED_REFERENCE,MATCHED_PAIR_TRANSITIONS_WITH_ADJACENT_RETURN_VIAS,P0,hardware/kicad/PCB_RULES.md;hardware/PCB_MAIN_CELLULAR_AUTHORITY_REV_A.md;hardware/PCB_MAIN_PASSIVE_SUPPORT_AUTHORITY_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
CELL_USB_DM_U8,USB_90OHM_DIFF,GND_MODEM,DIFFERENTIAL_SERIES_SEGMENT,90_OHM_DIFFERENTIAL_FACTORY_STACKUP_PENDING,NO_NUMERIC_WIDTH_OR_GAP_UNTIL_FACTORY_STACKUP,USB_CELL_MODEM_SEGMENT,CELL_USB_DP_U8,USB_CELL_MODEM_SEGMENT,PAIR_SKEW_LIMIT_REQUIRES_FINAL_STACKUP_AND_SI_REVIEW,PAIR_ON_ONE_LAYER_OVER_UNINTERRUPTED_REFERENCE,MATCHED_PAIR_TRANSITIONS_WITH_ADJACENT_RETURN_VIAS,P0,hardware/kicad/PCB_RULES.md;hardware/PCB_MAIN_CELLULAR_AUTHORITY_REV_A.md;hardware/PCB_MAIN_PASSIVE_SUPPORT_AUTHORITY_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
CELL_USB_DP_TP,USB_90OHM_DIFF,GND_MODEM,DIFFERENTIAL_SERIES_SEGMENT,90_OHM_DIFFERENTIAL_FACTORY_STACKUP_PENDING,NO_NUMERIC_WIDTH_OR_GAP_UNTIL_FACTORY_STACKUP,USB_CELL_FIXTURE_SEGMENT,CELL_USB_DM_TP,USB_CELL_FIXTURE_SEGMENT,PAIR_SKEW_LIMIT_REQUIRES_FINAL_STACKUP_AND_SI_REVIEW,PAIR_ON_ONE_LAYER_OVER_UNINTERRUPTED_REFERENCE,MATCHED_PAIR_TRANSITIONS_WITH_ADJACENT_RETURN_VIAS,P0,hardware/kicad/PCB_RULES.md;hardware/PCB_MAIN_CELLULAR_AUTHORITY_REV_A.md;hardware/PCB_MAIN_PASSIVE_SUPPORT_AUTHORITY_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
CELL_USB_DP_U8,USB_90OHM_DIFF,GND_MODEM,DIFFERENTIAL_SERIES_SEGMENT,90_OHM_DIFFERENTIAL_FACTORY_STACKUP_PENDING,NO_NUMERIC_WIDTH_OR_GAP_UNTIL_FACTORY_STACKUP,USB_CELL_MODEM_SEGMENT,CELL_USB_DM_U8,USB_CELL_MODEM_SEGMENT,PAIR_SKEW_LIMIT_REQUIRES_FINAL_STACKUP_AND_SI_REVIEW,PAIR_ON_ONE_LAYER_OVER_UNINTERRUPTED_REFERENCE,MATCHED_PAIR_TRANSITIONS_WITH_ADJACENT_RETURN_VIAS,P0,hardware/kicad/PCB_RULES.md;hardware/PCB_MAIN_CELLULAR_AUTHORITY_REV_A.md;hardware/PCB_MAIN_PASSIVE_SUPPORT_AUTHORITY_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
CELL_USB_VBUS,POWER_RAIL,GND_MODEM,PLANE_OR_SHORT_WIDE_BRANCH,NOT_CONTROLLED_IMPEDANCE,WIDTH_FROM_LOAD_CURRENT_DC_DROP_AND_THERMAL_REVIEW,,,,NOT_APPLICABLE,SIGNAL_LAYER_WITH_CONTINUOUS_LOCAL_REFERENCE,MINIMIZE_TRANSITIONS,P1,hardware/kicad/PCB_RULES.md;hardware/PCB_MAIN_CELLULAR_AUTHORITY_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
CELL_USIM_CLK_1V8,EDGE_CLOCK,GND_MODEM,SOURCE_SERIES_SEGMENT_OR_CONTROLLED_FANOUT,NOT_CONTROLLED_IMPEDANCE,FABRICATOR_MINIMUMS_AND_REVIEW_B,,,,NOT_APPLICABLE,SIGNAL_LAYER_WITH_CONTINUOUS_LOCAL_REFERENCE,MINIMIZE_TRANSITIONS_RETURN_VIA_AT_EACH_LAYER_CHANGE,P1,hardware/kicad/PCB_RULES.md;hardware/PCB_MAIN_CELLULAR_AUTHORITY_REV_A.md;hardware/PCB_MAIN_PASSIVE_SUPPORT_AUTHORITY_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
CELL_USIM_DATA_1V8,EDGE_DATA,GND_MODEM,SOURCE_SERIES_SEGMENT_OR_POINT_TO_POINT,NOT_CONTROLLED_IMPEDANCE,FABRICATOR_MINIMUMS_AND_REVIEW_B,,,,NOT_APPLICABLE,SIGNAL_LAYER_WITH_CONTINUOUS_LOCAL_REFERENCE,MINIMIZE_TRANSITIONS_RETURN_VIA_AT_EACH_LAYER_CHANGE,P1,hardware/kicad/PCB_RULES.md;hardware/PCB_MAIN_CELLULAR_AUTHORITY_REV_A.md;hardware/PCB_MAIN_PASSIVE_SUPPORT_AUTHORITY_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
CELL_USIM_RST_1V8,EDGE_DATA,GND_MODEM,SOURCE_SERIES_SEGMENT_OR_POINT_TO_POINT,NOT_CONTROLLED_IMPEDANCE,FABRICATOR_MINIMUMS_AND_REVIEW_B,,,,NOT_APPLICABLE,SIGNAL_LAYER_WITH_CONTINUOUS_LOCAL_REFERENCE,MINIMIZE_TRANSITIONS_RETURN_VIA_AT_EACH_LAYER_CHANGE,P1,hardware/kicad/PCB_RULES.md;hardware/PCB_MAIN_CELLULAR_AUTHORITY_REV_A.md;hardware/PCB_MAIN_PASSIVE_SUPPORT_AUTHORITY_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
CELL_USIM_VDD_1V8,POWER_RAIL,GND_MODEM,PLANE_OR_SHORT_WIDE_BRANCH,NOT_CONTROLLED_IMPEDANCE,WIDTH_FROM_LOAD_CURRENT_DC_DROP_AND_THERMAL_REVIEW,,,,NOT_APPLICABLE,SIGNAL_LAYER_WITH_CONTINUOUS_LOCAL_REFERENCE,MINIMIZE_TRANSITIONS,P1,hardware/kicad/PCB_RULES.md;hardware/PCB_MAIN_CELLULAR_AUTHORITY_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
EN_AUX,LOW_SPEED_CONTROL,GND_DIGITAL,POINT_TO_POINT_OR_STATIC_STRAP,NOT_CONTROLLED_IMPEDANCE,FABRICATOR_MINIMUMS_AND_REVIEW_B,,,,NOT_APPLICABLE,SIGNAL_LAYER_WITH_CONTINUOUS_LOCAL_REFERENCE,MINIMIZE_TRANSITIONS,P2,hardware/kicad/PCB_RULES.md;hardware/PCB_MAIN_MCU_PIN_AUTHORITY_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
EN_MODEM,LOW_SPEED_CONTROL,GND_DIGITAL,POINT_TO_POINT_OR_STATIC_STRAP,NOT_CONTROLLED_IMPEDANCE,FABRICATOR_MINIMUMS_AND_REVIEW_B,,,,NOT_APPLICABLE,SIGNAL_LAYER_WITH_CONTINUOUS_LOCAL_REFERENCE,MINIMIZE_TRANSITIONS,P2,hardware/kicad/PCB_RULES.md;hardware/PCB_MAIN_MCU_PIN_AUTHORITY_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
