RefDes,BOM_Item_ID,Category,Manufacturer,MPN,Package,Value,Population,Temperature_C,Footprint,Pin_Map,Authority_Status,Primary_Source,Release_Blockers,Notes
R10,PWR-R-10K,Passive,Panasonic Industry,ERJ-2RKF1002X,0402,10 kOhm 1%,FITTED,-55..155,Resistor_SMD:R_0402_1005Metric,1=3V3_DIGITAL;2=PWR_GOOD,LOCKED_FITTED,Panasonic ERJ-2R series data,logic threshold and startup verification,PWR_GOOD pull-up
R12,PWR-R-10K,Passive,Panasonic Industry,ERJ-2RKF1002X,0402,10 kOhm 1%,FITTED,-55..155,Resistor_SMD:R_0402_1005Metric,1=3V3_DIGITAL;2=FAULT,LOCKED_FITTED,Panasonic ERJ-2R series data,logic threshold and fault verification,FAULT pull-up
R13,PWR-R-4K7-DNP,Passive,Panasonic Industry,ERJ-2RKF4701X,0402,4.7 kOhm 1%,DNP,-55..155,Resistor_SMD:R_0402_1005Metric,1=3V3_DIGITAL;2=I2C2_SCL,LOCKED_DNP,Panasonic ERJ-2R series data,I2C harness capacitance and population control,Optional PCB-PWR I2C SCL pull-up
R14,PWR-R-4K7-DNP,Passive,Panasonic Industry,ERJ-2RKF4701X,0402,4.7 kOhm 1%,DNP,-55..155,Resistor_SMD:R_0402_1005Metric,1=3V3_DIGITAL;2=I2C2_SDA,LOCKED_DNP,Panasonic ERJ-2R series data,I2C harness capacitance and population control,Optional PCB-PWR I2C SDA pull-up
R15,PWR-R-10K-DNP,Passive,Panasonic Industry,ERJ-2RKF1002X,0402,10 kOhm 1%,DNP,-55..155,Resistor_SMD:R_0402_1005Metric,1=PG_3V8;2=3V3_DIGITAL,LOCKED_DNP,Panasonic ERJ-2R series data,diagnostic population control,Optional 3V8 PG pull-up
NT1,PWR-NET-TIE,PCB feature,PCB fabrication,NET_TIE_COPPER_REV_A,NetTie-2 SMD pad 0.5 mm,2-pad copper net tie,PCB_FEATURE,N/A,NetTie:NetTie-2_SMD_Pad0.5mm,1=GND_MODEM;2=GND_PWR,LOCKED_LAYOUT_PENDING,Project ground-return authority,layout current-return review,Controlled GND_MODEM join
NT2,PWR-NET-TIE,PCB feature,PCB fabrication,NET_TIE_COPPER_REV_A,NetTie-2 SMD pad 0.5 mm,2-pad copper net tie,PCB_FEATURE,N/A,NetTie:NetTie-2_SMD_Pad0.5mm,1=GND_DIGITAL;2=GND_PWR,LOCKED_LAYOUT_PENDING,Project ground-return authority,layout current-return review,Controlled GND_DIGITAL join
NT3,PWR-NET-TIE,PCB feature,PCB fabrication,NET_TIE_COPPER_REV_A,NetTie-2 SMD pad 0.5 mm,2-pad copper net tie,PCB_FEATURE,N/A,NetTie:NetTie-2_SMD_Pad0.5mm,1=GND_MIC;2=GND_PWR,LOCKED_LAYOUT_PENDING,Project ground-return authority,layout current-return review,Controlled GND_MIC join
TP1,,DFT point,Project,DFT_PAD_1P70_NOPASTE_REV_A,SMD test pad 1.70 mm,TP_VBAT_PROTECTED,PCB_FEATURE,N/A,DioneyaPWR:TestPoint_DFT_1.7mm_NoPaste,1=VBAT_PROTECTED,LOCKED_LAYOUT_PENDING,Project PCB-PWR DFT authority,fixture accessibility and probe-wear validation,Protected-input test point
TP2,,DFT point,Project,DFT_PAD_1P70_NOPASTE_REV_A,SMD test pad 1.70 mm,TP_SHUNT_SRC,PCB_FEATURE,N/A,DioneyaPWR:TestPoint_DFT_1.7mm_NoPaste,1=SHUNT_SOURCE_SENSE,LOCKED_LAYOUT_PENDING,Project PCB-PWR DFT authority,fixture accessibility and probe-wear validation,Kelvin source test point
TP3,,DFT point,Project,DFT_PAD_1P70_NOPASTE_REV_A,SMD test pad 1.70 mm,TP_SHUNT_LOAD,PCB_FEATURE,N/A,DioneyaPWR:TestPoint_DFT_1.7mm_NoPaste,1=SHUNT_LOAD_SENSE,LOCKED_LAYOUT_PENDING,Project PCB-PWR DFT authority,fixture accessibility and probe-wear validation,Kelvin load test point
TP4,,DFT point,Project,DFT_PAD_1P70_NOPASTE_REV_A,SMD test pad 1.70 mm,TP_3V8,PCB_FEATURE,N/A,DioneyaPWR:TestPoint_DFT_1.7mm_NoPaste,1=3V8_MODEM,LOCKED_LAYOUT_PENDING,Project PCB-PWR DFT authority,fixture accessibility and probe-wear validation,3V8 rail test point
TP5,,DFT point,Project,DFT_PAD_1P70_NOPASTE_REV_A,SMD test pad 1.70 mm,TP_PG_3V8,PCB_FEATURE,N/A,DioneyaPWR:TestPoint_DFT_1.7mm_NoPaste,1=PG_3V8,LOCKED_LAYOUT_PENDING,Project PCB-PWR DFT authority,fixture accessibility and probe-wear validation,3V8 power-good diagnostic point
TP6,,DFT point,Project,DFT_PAD_1P70_NOPASTE_REV_A,SMD test pad 1.70 mm,TP_PWR_GOOD,PCB_FEATURE,N/A,DioneyaPWR:TestPoint_DFT_1.7mm_NoPaste,1=PWR_GOOD,LOCKED_LAYOUT_PENDING,Project PCB-PWR DFT authority,fixture accessibility and probe-wear validation,3V3 power-good point
TP7,,DFT point,Project,DFT_PAD_1P70_NOPASTE_REV_A,SMD test pad 1.70 mm,TP_1V8,PCB_FEATURE,N/A,DioneyaPWR:TestPoint_DFT_1.7mm_NoPaste,1=1V8_MIC,LOCKED_LAYOUT_PENDING,Project PCB-PWR DFT authority,fixture accessibility and probe-wear validation,1V8 rail test point
TP8,,DFT point,Project,DFT_PAD_1P70_NOPASTE_REV_A,SMD test pad 1.70 mm,TP_FAULT,PCB_FEATURE,N/A,DioneyaPWR:TestPoint_DFT_1.7mm_NoPaste,1=FAULT,LOCKED_LAYOUT_PENDING,Project PCB-PWR DFT authority,fixture accessibility and probe-wear validation,Fault-line test point
TP9,,DFT point,Project,DFT_PAD_1P70_NOPASTE_REV_A,SMD test pad 1.70 mm,TP_SCL,PCB_FEATURE,N/A,DioneyaPWR:TestPoint_DFT_1.7mm_NoPaste,1=I2C2_SCL,LOCKED_LAYOUT_PENDING,Project PCB-PWR DFT authority,fixture accessibility I2C loading and probe-wear validation,I2C SCL test point
TP10,,DFT point,Project,DFT_PAD_1P70_NOPASTE_REV_A,SMD test pad 1.70 mm,TP_SDA,PCB_FEATURE,N/A,DioneyaPWR:TestPoint_DFT_1.7mm_NoPaste,1=I2C2_SDA,LOCKED_LAYOUT_PENDING,Project PCB-PWR DFT authority,fixture accessibility I2C loading and probe-wear validation,I2C SDA test point
