LQFP100_Pin,Pin_Name,Pin_Type,RevA_Net,Disposition,Authority,Notes
50,VSS,GROUND,GND,GROUND_LOCKED,ST_DS13086_AN5373_REVA,Digital ground
51,VDD,POWER_IN,3V3_DIGITAL,SUPPLY_LOCKED,ST_DS13086_AN5373_REVA,100 nF at this VDD pin
52,PB13,IO,I2C2_SCL,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,Power and sensor I2C clock
53,PB14,IO,I2C2_SDA,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,Power and sensor I2C data
54,PB15,IO,LORA_TXEN,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,LoRa RF-switch transmit enable; active HIGH with external pull-down and LOW startup state
55,PD8,IO,LORA_RXEN,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,LoRa RF-switch receive enable; active HIGH with external pull-down and LOW startup state
56,PD9,IO,LORA_BUSY,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,LoRa busy
57,PD10,IO,LORA_RESET_N,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,LoRa reset
58,PD11,IO,CELL_PWRKEY_CMD,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,Modem PWRKEY command
59,PD12,IO,CELL_RESET_N_CMD,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,Modem reset command
60,PD13,IO,CELL_STATUS,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,Modem status
61,PD14,IO,CELL_DTR,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,Modem DTR
62,PD15,IO,CELL_RI,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,Modem ring indicator
63,PC6,IO,ACCEL_INT,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,Accelerometer interrupt
64,PC7,IO,TAMPER_IN,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,Enclosure tamper input
65,PC8,IO,SD_D0,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,microSD data 0
66,PC9,IO,SD_D1,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,microSD data 1
67,PA8,IO,MIC_WAKE,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,Aggregated microphone wake
68,PA9,IO,USB_VBUS,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,USB VBUS sense
69,PA10,IO,NC,UNUSED_GPIO_NC,REVA_MCU_PIN_AUTHORITY,Unused GPIO
70,PA11,IO,USB_DM,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,USB D-
71,PA12,IO,USB_DP,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,USB D+
72,PA13 (JTMS/SWDIO),IO,SWDIO,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,STM32 SWD data
73,VDDUSB,POWER_IN,3V3_DIGITAL,SUPPLY_LOCKED,ST_DS13086_AN5373_REVA,USB transceiver supply with local 100 nF
74,VSS,GROUND,GND,GROUND_LOCKED,ST_DS13086_AN5373_REVA,Digital ground
75,VDD,POWER_IN,3V3_DIGITAL,SUPPLY_LOCKED,ST_DS13086_AN5373_REVA,100 nF at this VDD pin
76,PA14 (JTCK/SWCLK),IO,SWCLK,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,STM32 SWD clock
77,PA15 (JTDI),IO,AAD_CFG,FUNCTION_LOCKED,AAD_CFG_PIN_ADDENDUM_REV_A,Shared microphone THSEL configuration
78,PC10,IO,SD_D2,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,microSD data 2
79,PC11,IO,SD_D3,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,microSD data 3
80,PC12,IO,SD_CK,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,microSD clock
81,PD0,IO,PWR_GOOD,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,Power-good input
82,PD1,IO,PWR_FAULT,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,Power-fault input
83,PD2,IO,SD_CMD,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,microSD command
84,PD3,IO,NC,UNUSED_GPIO_NC,REVA_MCU_PIN_AUTHORITY,Unused GPIO
85,PD4,IO,EN_MODEM,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,Modem power enable
86,PD5,IO,EN_AUX,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,Auxiliary power enable
87,PD6,IO,PDM_DATA2,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,Microphone channel 2 data
88,PD7,IO,NC,UNUSED_GPIO_NC,REVA_MCU_PIN_AUTHORITY,Unused GPIO
89,PB3 (JTDO/TRACESWO),IO,NC,JTAG_TRACE_UNUSED_NC,REVA_MCU_PIN_AUTHORITY,JTAG and trace output unused; SWD retained
90,PB4 (NJTRST),IO,NC,JTAG_UNUSED_NC,REVA_MCU_PIN_AUTHORITY,JTAG reset unused; SWD retained
91,PB5,IO,NC,UNUSED_GPIO_NC,REVA_MCU_PIN_AUTHORITY,Unused GPIO
92,PB6,IO,CELL_TX,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,Cellular UART transmit
93,PB7,IO,CELL_RX,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,Cellular UART receive
94,PH3-BOOT0,IO,BOOT0,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,Normal-boot strap and recovery test point
95,PB8,IO,REV_STRAP0,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,Hardware revision strap 0
96,PB9,IO,REV_STRAP1,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,Hardware revision strap 1
97,PE0,IO,SIM_MUX_SEL,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,SIM mux select
98,VDD11,POWER_OUT,VCORE_1V1,SMPS_LOCKED,ST_DS13086_AN5373_REVA,Second joined VDD11 pin; 2.2 uF and optional 100 nF to VSSSMPS
99,VSS,GROUND,GND,GROUND_LOCKED,ST_DS13086_AN5373_REVA,Digital ground
100,VDD,POWER_IN,3V3_DIGITAL,SUPPLY_LOCKED,ST_DS13086_AN5373_REVA,100 nF at this VDD pin plus package bulk 10 uF
