source_group,source_files,label,expected_family,predicted_family,confidence,margin,correct
dataset/raw/стрельба/fc178a66-0a76-4bf4-8a22-b4cf6aa7ae6b/strelba-broneboynym-snaryadom.wav,dataset/raw/стрельба/fc178a66-0a76-4bf4-8a22-b4cf6aa7ae6b/strelba-broneboynym-snaryadom.wav,стрельба,IMPULSE_BACKGROUND,UNKNOWN,0.0,0.195626,False
dataset/raw/природный фон/13777251-2b02-47df-8328-c426c5211132/derevenskaya-atmosfera-s-pticami-i-nasekomymi.wav,dataset/raw/природный фон/13777251-2b02-47df-8328-c426c5211132/derevenskaya-atmosfera-s-pticami-i-nasekomymi.wav,природный фон,BIOLOGICAL_BACKGROUND,UNKNOWN,0.0,0.144229,False
dataset/raw/птицы/d7543cb6-2179-4bd5-81f4-1a3958c7bf29/derevenskaya-atmosfera-s-raznymi-pticami-2.wav,dataset/raw/птицы/d7543cb6-2179-4bd5-81f4-1a3958c7bf29/derevenskaya-atmosfera-s-raznymi-pticami-2.wav,птицы,BIOLOGICAL_BACKGROUND,UNKNOWN,0.0,0.193554,False
dataset/raw/птицы/97c3d208-bec6-4fb1-be0d-2b670ec47dd9/derevenskaya-atmosfera-s-raznymi-pticami.wav,dataset/raw/птицы/97c3d208-bec6-4fb1-be0d-2b670ec47dd9/derevenskaya-atmosfera-s-raznymi-pticami.wav,птицы,BIOLOGICAL_BACKGROUND,UNKNOWN,0.0,0.129761,False
dataset/raw/DJI Mini 3 Pro/a22fef89-2716-44d5-abfb-733bd4c6b86b/dji_mini_3pro.wav,dataset/raw/DJI Mini 3 Pro/a22fef89-2716-44d5-abfb-733bd4c6b86b/dji_mini_3pro.wav,DJI Mini 3 Pro,ROTOR_ELECTRIC,NOT_EVALUABLE,0.0,0.0,
dataset/raw/Лютый/lutyi_city_pass/lutyi_city_pass_0_10p5.wav,dataset/raw/Лютый/lutyi_city_pass/lutyi_city_pass_0_10p5.wav,Лютый,PROP_PISTON,PROP_PISTON,0.616088,1.0,True
dataset/raw/Лютый/lutyi_daylight_pass/lutyi_daylight_pass_0_10.wav,dataset/raw/Лютый/lutyi_daylight_pass/lutyi_daylight_pass_0_10.wav,Лютый,PROP_PISTON,PROP_PISTON,0.861275,1.0,True
dataset/raw/Лютый/lutyi_audio14/lutyi_audio14_full.wav,dataset/raw/Лютый/lutyi_audio14/lutyi_audio14_full.wav,Лютый,PROP_PISTON,UNKNOWN,0.0,1.0,False
dataset/raw/Лютый/v06_user_sources/Лютый 3/Лютый 3.wav,dataset/raw/Лютый/v06_user_sources/Лютый 3/Лютый 3.wav,Лютый,PROP_PISTON,PROP_PISTON,0.752542,1.0,True
dataset/raw/Лютый/v06_user_sources/Лютый 4/Лютый 4.wav,dataset/raw/Лютый/v06_user_sources/Лютый 4/Лютый 4.wav,Лютый,PROP_PISTON,PROP_PISTON,0.831444,1.0,True
dataset/raw/Лютый/v06_user_sources/Лютый 5/Лютый 5.wav,dataset/raw/Лютый/v06_user_sources/Лютый 5/Лютый 5.wav,Лютый,PROP_PISTON,PROP_PISTON,0.769916,1.0,True
dataset/raw/FP-1/v06_user_sources/FP-1/FP-1.wav,dataset/raw/FP-1/v06_user_sources/FP-1/FP-1.wav,FP-1,PROP_PISTON,PROP_PISTON,0.890058,1.0,True
dataset/raw/FP-1/v06_user_sources/FP-1 (2)/FP-1 (2).wav,dataset/raw/FP-1/v06_user_sources/FP-1 (2)/FP-1 (2).wav,FP-1,PROP_PISTON,PROP_PISTON,0.922457,1.0,True
dataset/raw/FP-1/v06_user_sources/FP-1 3/FP-1 3.wav,dataset/raw/FP-1/v06_user_sources/FP-1 3/FP-1 3.wav,FP-1,PROP_PISTON,PROP_PISTON,0.667275,1.0,True
lutyi_20260920_varied_range_altitude_le_90m,dataset/raw/Лютый/lutyi_20260920_varied_range_altitude_le_90m/video_2026-09-20_21-07-06.wav|dataset/raw/Лютый/lutyi_20260920_varied_range_altitude_le_90m/video_2026-09-20_21-07-20.wav|dataset/raw/Лютый/lutyi_20260920_varied_range_altitude_le_90m/video_2026-09-20_21-07-26.wav,Лютый,PROP_PISTON,PROP_PISTON,0.866792,1.0,True
